COUNT;EXTRACTED HORN RULES
1/10;kvinne & sykepleier ---> Afrika
1/10;kvinne & sykepleier ---> Trondheim
1/10;kvinne & sykepleier ---> mellom 40 og 50
1/10;mellom 30 og 40 & kvinne ---> Asia
1/10;mellom 30 og 40 & kvinne ---> Ålesund
1/10;mellom 30 og 40 & psykolog ---> mann
1/10;Stavanger & Sør Amerika & kvinne & psykolog ---> FALSE
1/10;kvinne & mellom 40 og 50 & psykolog ---> FALSE
1/10;Ålesund & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/10;Asia & kvinne ---> psykolog
1/10;Asia & kvinne ---> yngre enn 20
1/10;Asia & kvinne ---> Ålesund
1/10;Australia & psykolog ---> kvinne
1/10;Europa & kvinne ---> frisør
1/10;kvinne & mellom 40 og 50 ---> Afrika
1/10;Oslo & Australia & kvinne & eldre enn 60 & sykepleier ---> FALSE
1/10;Tromsø & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/10;mellom 30 og 40 & Bodø & kvinne & psykolog ---> FALSE
1/10;yngre enn 20 & Afrika & kvinne ---> FALSE
1/10;yngre enn 20 & Ålesund & Australia & kvinne ---> FALSE
