COUNT;EXTRACTED HORN RULES
2/10;mellom 20 og 30 & Oslo & Afrika & kvinne & frisør ---> FALSE
2/10;mellom 30 og 40 & Bodø & Sør Amerika & mann & psykolog ---> FALSE
2/10;politiker & Kristiansand & Europa & mann ---> FALSE
2/10;politiker & Stavanger & Europa & mann ---> FALSE
2/10;politiker & Sør Amerika & kvinne ---> FALSE
2/10;yngre enn 20 & Bergen & Australia ---> FALSE
2/10;yngre enn 20 & kvinne & psykolog ---> FALSE
2/10;Ålesund & mann & frisør ---> FALSE
2/10;Ålesund & mann & mellom 50 og 60 & psykolog ---> FALSE
2/10;Bodø & kvinne & mellom 50 og 60 ---> Europa
2/10;Bodø & kvinne & mellom 50 og 60 ---> psykolog
2/10;Oslo & kvinne ---> Nord Amerika
2/10;Oslo & kvinne ---> mellom 20 og 30
2/10;Oslo & kvinne ---> psykolog
2/10;Sør Amerika & kvinne & psykolog ---> Stavanger
2/10;Tromsø & Nord Amerika ---> mann
2/10;kvinne & eldre enn 60 ---> Sør Amerika
2/10;mann & sykepleier ---> Bodø
2/10;mann & sykepleier ---> Europa
2/10;sveiser & kvinne ---> Nord Amerika
2/10;sveiser & kvinne ---> mellom 50 og 60
2/10;Bergen & Sør Amerika & kvinne ---> FALSE
2/10;Kristiansand & mann & mellom 50 og 60 & psykolog ---> FALSE
2/10;Stavanger & mann & mellom 40 og 50 & psykolog ---> FALSE
2/10;Stavanger & mann & rørlegger ---> FALSE
2/10;Stavanger & mellom 30 og 40 & Australia & kvinne ---> FALSE
2/10;Tromsø & Australia & mann & mellom 40 og 50 & psykolog ---> FALSE
2/10;Tromsø & kvinne & mellom 50 og 60 & frisør ---> FALSE
2/10;Trondheim & Europa & mann & mellom 50 og 60 & psykolog ---> FALSE
2/10;Trondheim & Nord Amerika & mann & frisør ---> FALSE
2/10;kvinne & mellom 40 og 50 & frisør ---> FALSE
2/10;mellom 20 og 30 & Bergen & Nord Amerika & kvinne ---> FALSE
2/10;mellom 20 og 30 & Europa & kvinne ---> FALSE
2/10;politiker & Bodø & Australia & mann ---> FALSE
2/10;politiker & kvinne & mellom 50 og 60 ---> FALSE
2/10;politiker & mellom 30 og 40 & kvinne ---> FALSE
2/10;yngre enn 20 & politiker & kvinne ---> FALSE
2/10;Ålesund & Afrika & kvinne & mellom 40 og 50 ---> FALSE
1/10;Bergen ---> mann
1/10;Nord Amerika & mellom 40 og 50 ---> rørlegger
1/10;Stavanger & Afrika ---> eldre enn 60
1/10;Stavanger & Afrika ---> sveiser
1/10;sveiser & kvinne ---> Asia
1/10;Kristiansand & Nord Amerika & mann & mellom 50 og 60 & frisør ---> FALSE
1/10;Oslo & Australia & mann & psykolog ---> FALSE
1/10;arkitekt & Trondheim & kvinne ---> FALSE
1/10;kvinne & eldre enn 60 ---> FALSE
1/10;mellom 30 og 40 & Europa ---> FALSE
1/10;politiker & kvinne ---> FALSE
1/10;Nord Amerika & mellom 40 og 50 ---> Bergen
1/10;Trondheim & kvinne ---> Europa
1/10;Trondheim & kvinne ---> mellom 30 og 40
1/10;politiker ---> Europa
1/10;politiker ---> Trondheim
1/10;politiker ---> kvinne
1/10;politiker ---> mellom 30 og 40
1/10;rørlegger ---> mann
1/10;Trondheim & mann & psykolog ---> FALSE
1/10;politiker & Kristiansand & mann & mellom 40 og 50 ---> FALSE
1/10;sveiser & Ålesund & Asia & kvinne & mellom 50 og 60 ---> FALSE
1/10;Bodø ---> Nord Amerika
1/10;Bodø ---> mellom 50 og 60
1/10;Bodø ---> sveiser
1/10;Stavanger & Europa ---> mann
1/10;kvinne & frisør ---> Stavanger
1/10;kvinne & frisør ---> mellom 40 og 50
1/10;politiker & Oslo & mellom 30 og 40 & mann ---> Nord Amerika
1/10;politiker & kvinne ---> Australia
1/10;politiker & kvinne ---> Stavanger
1/10;mellom 20 og 30 & Ålesund & Sør Amerika & mann & psykolog ---> FALSE
