COUNT;EXTRACTED HORN RULES
2/10;sveiser & Ålesund & Asia & mann ---> yngre enn 20
2/10;Kristiansand & Nord Amerika & kvinne & mellom 50 og 60 & psykolog ---> FALSE
2/10;Stavanger & Europa & kvinne & rørlegger ---> FALSE
2/10;Tromsø & Europa & kvinne & sykepleier ---> FALSE
2/10;sveiser & Bergen & kvinne & mellom 40 og 50 ---> FALSE
2/10;Ålesund & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/10;Trondheim & mann ---> politiker
1/10;rørlegger ---> mann
1/10;Kristiansand & psykolog ---> FALSE
1/10;kvinne & mellom 40 og 50 ---> FALSE
1/10;Bodø & kvinne ---> Europa
1/10;Sør Amerika & kvinne & psykolog ---> Trondheim
1/10;Tromsø & kvinne ---> Asia
1/10;Tromsø & kvinne ---> sveiser
1/10;Ålesund & kvinne ---> Afrika
1/10;Kristiansand & Afrika & mann & psykolog ---> FALSE
1/10;Kristiansand & Sør Amerika & mann & mellom 40 og 50 ---> FALSE
1/10;kvinne & frisør ---> FALSE
1/10;Bergen & kvinne ---> Sør Amerika
1/10;Europa & kvinne & mellom 40 og 50 ---> Stavanger
1/10;Europa & kvinne & mellom 40 og 50 ---> sykepleier
1/10;frisør ---> mann
1/10;kvinne & psykolog ---> Asia
1/10;kvinne & psykolog ---> Kristiansand
1/10;Ålesund ---> Sør Amerika
1/10;Ålesund ---> kvinne
1/10;kvinne & rørlegger ---> FALSE
1/10;mellom 20 og 30 & Trondheim & Asia & kvinne & sykepleier ---> FALSE
1/10;sveiser & Tromsø & Nord Amerika & mann ---> FALSE
