COUNT;EXTRACTED HORN RULES
3/10;yngre enn 20 & arkitekt & Oslo & kvinne ---> FALSE
3/10;yngre enn 20 & elektriker & Stavanger & kvinne ---> FALSE
3/10;Ålesund & Sør Amerika & kvinne & mellom 50 og 60 ---> FALSE
3/10;Ålesund & kvinne & mellom 40 og 50 ---> FALSE
2/10;Australia & mellom 40 og 50 ---> mann
2/10;Kristiansand & Australia ---> mann
2/10;Kristiansand & Australia ---> mellom 40 og 50
2/10;Kristiansand & psykolog ---> Nord Amerika
2/10;Kristiansand & psykolog ---> kvinne
2/10;Kristiansand & psykolog ---> mellom 40 og 50
2/10;Oslo & Europa & mann ---> eldre enn 60
2/10;Oslo & Europa & mann ---> elektriker
2/10;Oslo & kvinne & mellom 40 og 50 ---> frisør
2/10;Sør Amerika & mann & psykolog ---> yngre enn 20
2/10;Trondheim & psykolog ---> mann
2/10;arkitekt & Trondheim ---> Sør Amerika
2/10;arkitekt & Trondheim ---> mann
2/10;arkitekt & Trondheim ---> mellom 50 og 60
2/10;mellom 30 og 40 ---> mann
2/10;politiker & mellom 50 og 60 ---> mann
2/10;yngre enn 20 & Bodø & kvinne ---> Afrika
2/10;yngre enn 20 & Bodø & kvinne ---> sykepleier
2/10;yngre enn 20 & politiker ---> Kristiansand
2/10;yngre enn 20 & politiker ---> kvinne
2/10;Bergen & kvinne & mellom 50 og 60 ---> FALSE
2/10;Bergen & mellom 30 og 40 & Australia & kvinne ---> FALSE
2/10;Europa & kvinne & eldre enn 60 & psykolog ---> FALSE
2/10;Kristiansand & kvinne & mellom 50 og 60 ---> FALSE
2/10;Tromsø & Australia & kvinne & eldre enn 60 & psykolog ---> FALSE
2/10;arkitekt & Sør Amerika & kvinne ---> FALSE
2/10;arkitekt & Tromsø & Asia & kvinne & eldre enn 60 ---> FALSE
2/10;arkitekt & Ålesund & Afrika & kvinne ---> FALSE
2/10;elektriker & Ålesund & Sør Amerika & kvinne ---> FALSE
2/10;mellom 20 og 30 & Bergen & Australia & kvinne ---> FALSE
2/10;mellom 20 og 30 & Bodø & kvinne ---> FALSE
2/10;mellom 20 og 30 & Kristiansand & kvinne ---> FALSE
2/10;mellom 20 og 30 & Tromsø & Asia & kvinne & psykolog ---> FALSE
2/10;mellom 20 og 30 & Trondheim & Nord Amerika & kvinne ---> FALSE
2/10;mellom 20 og 30 & arkitekt & Oslo & Australia & kvinne ---> FALSE
2/10;mellom 30 og 40 & Afrika & kvinne & psykolog ---> FALSE
2/10;politiker & Oslo & Afrika & kvinne & eldre enn 60 ---> FALSE
2/10;politiker & Stavanger & Nord Amerika & kvinne ---> FALSE
2/10;yngre enn 20 & Bergen & Nord Amerika & kvinne & psykolog ---> FALSE
2/10;Ålesund & Nord Amerika & kvinne & eldre enn 60 ---> FALSE
2/10;Bergen & Nord Amerika ---> mann
2/10;Bergen & Nord Amerika ---> yngre enn 20
2/10;Kristiansand & Nord Amerika & mann ---> mellom 20 og 30
2/10;Kristiansand & Nord Amerika & mann ---> sveiser
2/10;Stavanger & Sør Amerika ---> mann
2/10;Sør Amerika & kvinne & mellom 40 og 50 ---> frisør
2/10;Sør Amerika & kvinne & mellom 40 og 50 ---> Ålesund
2/10;Tromsø & kvinne & mellom 50 og 60 ---> Europa
2/10;Tromsø & kvinne & mellom 50 og 60 ---> sykepleier
2/10;arkitekt & Sør Amerika ---> Tromsø
2/10;arkitekt & Sør Amerika ---> kvinne
2/10;mann & frisør ---> Australia
2/10;mann & frisør ---> Kristiansand
2/10;mann & frisør ---> yngre enn 20
2/10;politiker & Kristiansand & Europa ---> mann
2/10;politiker & Kristiansand & Europa ---> mellom 20 og 30
2/10;yngre enn 20 & Sør Amerika ---> Stavanger
2/10;yngre enn 20 & Sør Amerika ---> mann
2/10;yngre enn 20 & Sør Amerika ---> psykolog
2/10;Bergen & Europa & kvinne & eldre enn 60 & psykolog ---> FALSE
2/10;Bodø & Asia & kvinne & mellom 50 og 60 & psykolog ---> FALSE
2/10;Bodø & Nord Amerika & kvinne & eldre enn 60 & psykolog ---> FALSE
2/10;Bodø & kvinne & mellom 40 og 50 ---> FALSE
2/10;Kristiansand & mellom 30 og 40 & kvinne ---> FALSE
2/10;Stavanger & mellom 30 og 40 & kvinne ---> FALSE
2/10;Tromsø & Afrika ---> FALSE
2/10;Trondheim & Afrika & kvinne & eldre enn 60 & psykolog ---> FALSE
2/10;arkitekt & Bergen & Afrika & kvinne ---> FALSE
2/10;arkitekt & mellom 30 og 40 & kvinne ---> FALSE
2/10;elektriker & Kristiansand & kvinne ---> FALSE
2/10;elektriker & Sør Amerika & kvinne ---> FALSE
2/10;mellom 20 og 30 & Asia & kvinne ---> FALSE
2/10;mellom 30 og 40 & Bodø & Australia & kvinne & psykolog ---> FALSE
2/10;mellom 30 og 40 & Tromsø & kvinne ---> FALSE
2/10;politiker & kvinne & mellom 40 og 50 ---> FALSE
2/10;politiker & mellom 30 og 40 & Bodø & kvinne ---> FALSE
2/10;yngre enn 20 & arkitekt & Trondheim & Asia & kvinne ---> FALSE
2/10;yngre enn 20 & elektriker & kvinne ---> FALSE
2/10;yngre enn 20 & politiker & Australia & kvinne ---> FALSE
2/10;yngre enn 20 & politiker & Bergen & Afrika & kvinne ---> FALSE
2/10;yngre enn 20 & Ålesund & kvinne & psykolog ---> FALSE
1/10;arkitekt ---> Europa
1/10;arkitekt ---> mann
1/10;arkitekt ---> mellom 50 og 60
1/10;yngre enn 20 & Ålesund & kvinne ---> sykepleier
1/10;Kristiansand & Asia & kvinne & eldre enn 60 & psykolog ---> FALSE
1/10;Stavanger & Afrika ---> FALSE
1/10;arkitekt & Oslo & Australia & kvinne & eldre enn 60 ---> FALSE
1/10;arkitekt & Stavanger & Australia & kvinne & mellom 40 og 50 ---> FALSE
1/10;elektriker & Stavanger & kvinne ---> FALSE
1/10;mann & frisør ---> FALSE
1/10;mellom 20 og 30 & elektriker & Trondheim & Sør Amerika & kvinne ---> FALSE
1/10;mellom 30 og 40 & Bodø & kvinne ---> FALSE
1/10;yngre enn 20 & Kristiansand & kvinne & psykolog ---> FALSE
1/10;yngre enn 20 & politiker & Tromsø & Sør Amerika & kvinne ---> FALSE
1/10;Tromsø ---> mann
1/10;Tromsø ---> mellom 20 og 30
1/10;Oslo & mellom 30 og 40 & kvinne & psykolog ---> FALSE
1/10;Stavanger & Sør Amerika & kvinne & mellom 40 og 50 ---> FALSE
1/10;Stavanger & kvinne & mellom 50 og 60 ---> FALSE
1/10;Sør Amerika & eldre enn 60 ---> FALSE
1/10;arkitekt & mellom 30 og 40 & Europa & kvinne ---> FALSE
1/10;elektriker & Bergen & Nord Amerika & kvinne ---> FALSE
1/10;mellom 20 og 30 & Ålesund & Asia & kvinne ---> FALSE
1/10;politiker & Afrika & kvinne & mellom 50 og 60 ---> FALSE
1/10;Asia & psykolog ---> Bergen
1/10;Asia & psykolog ---> mann
1/10;Asia & psykolog ---> mellom 20 og 30
1/10;Bergen & Australia ---> mann
1/10;Bergen & Australia ---> mellom 40 og 50
1/10;Bergen & Australia ---> psykolog
1/10;Trondheim ---> mann
1/10;Europa & kvinne & mellom 50 og 60 & psykolog ---> FALSE
1/10;Stavanger & mellom 30 og 40 ---> FALSE
1/10;Sør Amerika & kvinne & mellom 40 og 50 & psykolog ---> FALSE
1/10;Sør Amerika & mann & frisør ---> FALSE
1/10;elektriker & Ålesund & kvinne ---> FALSE
1/10;mellom 20 og 30 & Europa & kvinne ---> FALSE
1/10;mellom 20 og 30 & arkitekt & Tromsø & Nord Amerika & kvinne ---> FALSE
1/10;mellom 30 og 40 & Bodø & Afrika & kvinne & rørlegger ---> FALSE
1/10;mellom 30 og 40 & Sør Amerika & kvinne ---> FALSE
1/10;yngre enn 20 & arkitekt & Tromsø & Sør Amerika & kvinne ---> FALSE
