ATTRIBUTE,GOLD,PRED
radiograf,-0.486,0.173
radiolog,0.162,0.288
redaktør,0.006,0.215
regissør,0.098,0.156
regnskapsfører,-0.474,0.222
reiselivsmedarbeider,-0.352,0.151
reiseleder,-0.06,0.186
renholdsoperatør,-0.548,-0.1
resepsjonist,-0.182,0.279
reseptarfarmasøyt,-0.632,0.5
revisor,0.026,0.239
ridelærer,-0.826,0.192
rørlegger,0.972,0.166
saksbehandler,-0.474,-0.02
samfunnsøkonom,0.032,0.182
sanger,-0.164,-0.242
scenograf,-0.382,0.138
servitør,-0.262,0.066
sivilingeniør,0.572,0.128
siviløkonom,-0.01,0.067
maritim elektriker,0.976,0.376
skipsmegler,0.73,0.26
skoleassistent,-0.398,0.067
rektor/skoleleder,-0.174,-0.018
skomaker,0.394,0.36
skuespiller,0.002,-0.049
slakter,0.62,0.2
smed,0.53,0.2
sminkør,-0.734,-0.088
sosialantropolog,-0.126,0.056
sosiolog,-0.16,0.095
sosionom,-0.546,0.004
speditør,0.462,0.134
spesialpedagog,-0.856,-0.197
statsviter,-0.132,0.162
stipendiat,-0.06,0.052
styrmann,0.936,0.101
sveiser,0.946,0.192
sykepleier,-0.792,-0.03
sølvsmed,-0.088,0.233
takstmann,0.916,0.252
tak- og membrantekker,0.982,0.07
tannhelsesekretær,-0.944,0.139
tannlege,-0.22,0.214
tannpleier,-0.948,-0.053
tanntekniker,-0.054,0.296
tavlemontør,0.848,0.06
taxisjåfør,0.786,0.342
teknisk tegner,0.252,0.371
tekstforfatter,-0.094,-0.097
telekommunikasjonsmontør,0.902,0.011
toller,0.058,0.105
trafikklærer,0.524,0.098
tv-fotograf,0.356,0.131
tømrer,0.978,0.251
urmaker,0.724,0.322
byggdrifter / vaktmester,0.806,0.192
vekter,0.524,0.246
verktøymaker,0.978,0.36
vernepleier,-0.518,-0.216
veterinær,-0.558,0.177
webdesigner,0.154,0.006
økonom,-0.24,0.152
økonomisjef,0.304,0.221
mediegrafiker,0.016,0.263
kjøttskjærer,0.902,0.101
finmekaniker,0.834,0.241
båtbygger,0.864,0.396
låsesmed,0.952,0.017
sjømathandler,0.182,0.21
asfaltør,0.832,0.229
banemontør,0.904,0.229
signalmontør,0.95,0.106
betongfagarbeider,0.978,0.123
reservedelsekspeditør,0.75,0.074
ikt-servicemedarbeider,0.45,0.174
herreskredder,-0.398,0.308
ernæringskokk,-0.568,-0.303
produksjonselektroniker,0.344,0.367
brønnoperatør sementering,0.95,0.128
elektroreparatør,0.816,0.263
bunadtilvirker,-0.902,0.103
stillasbygger,0.988,0.316
bilskadereparatør,0.962,0.167
fjell- og bergverksarbeider,0.888,0.291
anleggsmaskinmekaniker,0.976,0.293
hestefaglært,-0.652,0.085
flysystemmekaniker,0.896,0.359
fagoperatør i limtreproduksjonsfaget,0.738,-0.028
skogsoperatør,0.89,0.003
bore- og vedlikeholdsoperatør,0.832,-0.029
gipsmaker,0.938,0.351
seilmaker,0.044,0.343
landbruksmaskinmekaniker,0.938,0.455
glassfagarbeider,0.854,0.154
steinfagarbeider,0.896,0.08
serigraf,0.566,0.322
energioperatør,0.876,0.112
tekstilrenser,-0.27,-0.015
garver,-0.348,0.146
aluminiumskonstruktør,0.722,0.248
dataelektroniker,0.804,0.469
vei- og anleggsarbeider,0.902,0.245
litteraturviter,-0.192,-0.129
spillprogrammerer,0.76,0.336
gravferdskonsulent,0.158,-0.193
byggingeniør,0.63,0.046
brønnoperatør havbunnsinstallasjoner,0.936,0.152
kunsthistoriker,-0.244,0.323
avisbud,0.734,0.085
idrettsutøver,0.61,0.306
havnesjef,0.73,0.322
fotballdommer,-0.034,0.368
sportsdommer,-0.034,0.38
miljøterapeut,-0.396,0.105
psykoterapeut,-0.508,0.286
manuellterapeut,0.372,0.138
økonomikonsulent,-0.19,-0.033
cnc-operatør,0.798,0.086
kjeveortoped,0.078,0.009
anestesisykepleier,-0.434,-0.174
vikler,0.754,0.097
menighetspedagog,-0.384,0.137
kirkeverge,-0.036,0.032
utmarksforvalter,0.812,0.218
landbrukssjef,-0.038,0.34
planteinspektør,-0.438,0.302
landbruksrådgiver,0.05,0.173
mikrobiolog,-0.576,0.249
vinkelner,0.364,0.23
finansanalytiker,0.1,0.225
flyinstruktør,0.788,0.534
intensivsykepleier,-0.748,-0.114
dramaturg,-0.334,0.017
marin bioteknolog,-0.224,0.093
samfunnsgeograf,-0.1,0.285
klinisk sosionom,-0.708,-0.077
reindriftsutøver,0.81,0.243
barne- og ungdomspsykiater,-0.106,-0.09
billedkunstner,-0.128,0.015
kunst- og kulturformidler,-0.318,0.007
lokomotivfører,0.858,0.426
trikkefører,0.546,0.307
undervisningsinspektør,-0.292,0.013
misjonær,0.144,0.272
branningeniør,0.808,0.425
farmasøyt,-0.628,0.256
rådgiver i offentlig sektor,-0.264,-0.179
museumsformidler,-0.35,0.041
komposittbåtbygger,0.682,0.433
trebåtbygger,0.876,0.469
antikvar,-0.122,0.167
instrumentalpedagog,-0.094,0.137
fagoperatør i trelastfaget,0.772,0.027
maskinist,0.944,0.415
kommunikasjonsrådgiver,-0.24,-0.039
driftsoperatør i idrettsanlegg,0.634,0.137
dimensjonskontrollør,0.854,0.226
fagoperatør i fiskeredskapsfaget,0.298,-0.048
fagarbeider industriell matproduksjon,0.294,0.008
chassispåbygger,0.976,0.338
bilmekaniker (tunge kjøretøy),0.974,0.34
fagarbeider sjømatproduksjon,0.26,0.018
industrisnekker,0.802,0.262
strikkehåndverker,-1.0,0.255
eksponeringsdesigner,-0.64,0.12
flystrukturmekaniker,0.896,0.411
vaskerioperatør,-0.186,0.137
maskinsjef,0.988,0.243
prosessingeniør,0.556,0.298
kurator,-0.302,0.257
rekvisitør,0.462,0.192
musikkterapeut,-0.2,0.096
musikkprodusent,0.536,0.365
brønnoperatør for mekaniske kabeloperasjoner,0.824,0.231
allmennlege,0.216,0.139
overstyrmann,0.938,0.408
hjemmehjelp,-0.78,-0.033
kaptein,0.98,0.388
personlig trener,-0.312,0.408
fabrikksjef. fiske,0.954,0.207
produktutvikler fiskefôr,0.714,0.047
fiskehelsebiolog,0.602,0.114
it-administrator,0.614,0.404
supportkonsulent,0.496,0.166
nettverkstekniker,0.77,0.418
fagoperatør i polymerkompositt / herdeplast,0.676,0.298
miljørådgiver,-0.06,0.143
adjunkt,-0.41,0.093
pedagogisk-psykologisk rådgiver (pp-rådgiver),-0.796,-0.127
interaksjonsdesigner,0.36,-0.009
fagoperatør i produksjonsteknikk,0.57,0.083
modellbygger,0.944,0.233
matteknolog,-0.304,0.054
samfunnsplanlegger,-0.03,0.272
arealplanlegger,-0.184,0.214
gjenvinningsoperatør,0.826,-0.029
industriell overflatebehandler,0.928,0.107
jobbveileder,-0.42,0.11
advokatassistent,-0.846,0.1
ndt-kontrollør,0.838,0.245
støper,0.892,0.215
bilpleier,0.66,-0.078
fagoperatør i plastfag,0.676,-0.021
ingeniør i energi og miljø i bygg,0.614,0.072
pleiemedarbeider,-0.55,0.097
industrimontør,0.898,0.166
kantinemedarbeider,-0.278,0.004
profileringsdesigner,-0.056,0.035
miljøarbeider,-0.272,0.211
personalrådgiver,-0.308,-0.035
fagoperatør i termoplast,0.684,0.143
innkjøper,0.218,0.092
fagoperatør i grafisk produksjonsteknikk,0.518,0.228
støttekontakt,-0.202,0.137
systemutvikler,0.62,0.315
telefonselger,0.186,0.144
salgssjef,0.518,0.326
kjøkkensjef,0.342,0.147
studiekonsulent,-0.418,-0.213
hjelpearbeider innen bygg og anlegg,0.822,-0.074
familierådgiver,-0.578,-0.082
hotellmedarbeider,-0.342,0.289
skolefritidsleder (sfo),-0.614,-0.17
kundeansvarlig (salg),0.29,0.057
forretningsutvikler,0.266,0.339
barista,-0.572,0.44
it-leder,0.666,0.258
veiplanlegger,0.364,0.225
avløser,0.362,0.118
jordskiftekandidat,0.502,0.044
geodataingeniør,0.384,0.363
it-arkitekt,0.66,0.324
statistiker,0.126,0.322
it-prosjektleder,0.218,0.104
jordskiftedommer,0.484,0.144
røkter,0.626,0.158
lufthavnbetjent,0.89,0.191
trafikkbetjent (parkering),0.514,0.321
arrangementsplanlegger,0.016,0.234
barnehagestyrer,-0.788,-0.074
filmfotograf,0.316,0.126
flymekaniker,0.886,0.236
flytekniker,0.91,0.404
dyrefagarbeider,-0.726,0.068
brønnborer fastland,0.968,0.131
sikkerhetsrådgiver (it),0.682,0.15
dataanalytiker (data scientist),0.582,0.503
anleggsrørlegger,0.992,0.348
medietekniker,0.786,0.299
ventilasjonstekniker,0.954,0.216
fagoperatør i trelast- og limtreproduksjon,0.852,0.357
fagoperatør i industritekstilfaget,-0.468,-0.172
forlagsmedarbeider,-0.316,0.071
kulturskolelærer,-0.318,-0.284
