ATTRIBUTE,GOLD,PRED
fagarbeider industriell matproduksjon,0.294,0.329
chassispåbygger,0.976,0.304
bilmekaniker (tunge kjøretøy),0.974,0.55
fagarbeider sjømatproduksjon,0.26,0.336
industrisnekker,0.802,0.322
strikkehåndverker,-1.0,0.275
eksponeringsdesigner,-0.64,0.312
flystrukturmekaniker,0.896,0.34
vaskerioperatør,-0.186,0.217
maskinsjef,0.988,0.296
prosessingeniør,0.556,0.362
kurator,-0.302,0.52
rekvisitør,0.462,0.315
musikkterapeut,-0.2,0.23
musikkprodusent,0.536,0.278
brønnoperatør for mekaniske kabeloperasjoner,0.824,0.279
allmennlege,0.216,0.425
overstyrmann,0.938,0.465
hjemmehjelp,-0.78,0.034
kaptein,0.98,0.528
personlig trener,-0.312,0.514
fabrikksjef. fiske,0.954,0.293
produktutvikler fiskefôr,0.714,0.325
fiskehelsebiolog,0.602,0.246
it-administrator,0.614,0.344
supportkonsulent,0.496,0.195
nettverkstekniker,0.77,0.266
fagoperatør i polymerkompositt / herdeplast,0.676,0.186
miljørådgiver,-0.06,0.252
adjunkt,-0.41,0.3
pedagogisk-psykologisk rådgiver (pp-rådgiver),-0.796,0.034
interaksjonsdesigner,0.36,0.313
fagoperatør i produksjonsteknikk,0.57,0.309
modellbygger,0.944,0.251
matteknolog,-0.304,0.347
samfunnsplanlegger,-0.03,0.467
arealplanlegger,-0.184,0.512
gjenvinningsoperatør,0.826,0.263
industriell overflatebehandler,0.928,0.283
jobbveileder,-0.42,0.374
advokatassistent,-0.846,0.629
ndt-kontrollør,0.838,0.389
støper,0.892,0.344
bilpleier,0.66,0.28
fagoperatør i plastfag,0.676,0.226
ingeniør i energi og miljø i bygg,0.614,0.286
pleiemedarbeider,-0.55,0.593
industrimontør,0.898,0.342
kantinemedarbeider,-0.278,0.465
profileringsdesigner,-0.056,0.321
miljøarbeider,-0.272,0.479
personalrådgiver,-0.308,0.343
fagoperatør i termoplast,0.684,0.247
innkjøper,0.218,0.307
fagoperatør i grafisk produksjonsteknikk,0.518,0.288
støttekontakt,-0.202,0.0
systemutvikler,0.62,0.31
telefonselger,0.186,0.247
salgssjef,0.518,0.264
kjøkkensjef,0.342,0.337
studiekonsulent,-0.418,0.254
hjelpearbeider innen bygg og anlegg,0.822,0.424
familierådgiver,-0.578,0.342
hotellmedarbeider,-0.342,0.442
skolefritidsleder (sfo),-0.614,0.283
kundeansvarlig (salg),0.29,0.307
forretningsutvikler,0.266,0.261
barista,-0.572,0.358
it-leder,0.666,0.333
veiplanlegger,0.364,0.374
avløser,0.362,0.241
jordskiftekandidat,0.502,0.436
geodataingeniør,0.384,0.335
it-arkitekt,0.66,0.448
statistiker,0.126,0.313
it-prosjektleder,0.218,0.262
jordskiftedommer,0.484,0.293
røkter,0.626,0.277
lufthavnbetjent,0.89,0.309
trafikkbetjent (parkering),0.514,0.333
arrangementsplanlegger,0.016,0.461
barnehagestyrer,-0.788,0.281
filmfotograf,0.316,0.337
flymekaniker,0.886,0.398
flytekniker,0.91,0.277
dyrefagarbeider,-0.726,0.378
brønnborer fastland,0.968,0.292
sikkerhetsrådgiver (it),0.682,0.246
dataanalytiker (data scientist),0.582,0.368
anleggsrørlegger,0.992,0.361
medietekniker,0.786,0.276
ventilasjonstekniker,0.954,0.289
fagoperatør i trelast- og limtreproduksjon,0.852,0.337
fagoperatør i industritekstilfaget,-0.468,0.299
forlagsmedarbeider,-0.316,0.471
kulturskolelærer,-0.318,0.296
