ATTRIBUTE;GOLD;PRED
konditor;-0.44;0.623
konduktør;0.136;0.61
konservator;-0.372;0.666
service- og administrasjonsmedarbeider;-0.428;0.614
kosmetolog;-0.946;0.506
kostymesyer;-0.908;0.328
kostøkonom;-0.186;0.515
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;0.715
kulde- og varmepumpetekniker;0.974;0.56
kunderådgiver i bank;-0.1;0.425
kunsthåndverker;0.038;0.477
kunstner;-0.034;0.582
kystskipper;0.976;0.603
laborant;-0.326;0.531
landmåler;0.45;0.683
landskapsarkitekt;-0.326;0.743
yrkessjåfør;0.91;0.626
leder;0.306;0.432
lege;-0.086;0.504
legemiddelkonsulent;-0.046;0.522
lektor;-0.246;0.593
logistikkoperatør;0.624;0.617
logoped;-0.862;0.471
los;0.956;0.485
lydtekniker;0.866;0.511
lystekniker;0.51;0.485
lærer;-0.378;0.501
maler;0.876;0.563
marinbiolog;-0.236;0.574
markedsfører;-0.15;0.533
markedssjef;0.206;0.662
maskiningeniør;0.836;0.617
maskør- og parykkmaker;-0.738;0.607
massasjeterapeut;-0.658;0.47
matematiker;-0.04;0.655
matros;0.888;0.524
mediedesigner;0.02;0.53
megler;0.368;0.235
mekaniker;0.958;0.571
meteorolog;0.088;0.565
modell;-0.368;0.128
skipsmotormekaniker;0.978;0.735
motormekaniker;0.976;0.687
mur-og flislegger;0.98;0.692
musiker;0.172;0.515
musikkpedagog;-0.128;0.57
møbelsnekker;0.81;0.573
møbeltapetserer;0.416;0.566
naturforvalter;0.662;0.654
negledesigner;-0.908;0.578
mattekniker;-0.294;0.591
optiker;-0.286;0.624
organist/kantor;0.204;0.666
ortoped;0.542;0.541
ortopediingeniør;-0.154;0.646
ortopeditekniker;0.302;0.434
oversetter;-0.232;0.692
personalsjef;-0.388;0.607
petroleumsingeniør;0.586;0.657
pilot;0.91;0.486
platearbeider;0.976;0.612
politi;0.252;0.431
politibetjent;0.288;0.717
politijurist;-0.082;0.626
politiker;-0.034;0.523
portør;0.464;0.563
postbud;0.152;0.559
prest;0.33;0.652
professor;0.336;0.589
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.7;0.701
psykiater;-0.106;0.37
psykolog;-0.51;0.516
radiograf;-0.486;0.583
radiolog;0.162;0.529
redaktør;0.006;0.524
regissør;0.098;0.569
regnskapsfører;-0.474;0.316
reiselivsmedarbeider;-0.352;0.649
reiseleder;-0.06;0.523
renholdsoperatør;-0.548;0.521
resepsjonist;-0.182;0.587
reseptarfarmasøyt;-0.632;0.399
revisor;0.026;0.521
ridelærer;-0.826;0.578
rørlegger;0.972;0.635
saksbehandler;-0.474;0.583
samfunnsøkonom;0.032;0.586
sanger;-0.164;0.246
scenograf;-0.382;0.54
servitør;-0.262;0.535
sivilingeniør;0.572;0.67
siviløkonom;-0.01;0.591
maritim elektriker;0.976;0.6
skipsmegler;0.73;0.565
skoleassistent;-0.398;0.671
rektor/skoleleder;-0.174;0.529
skomaker;0.394;0.56
skuespiller;0.002;0.403
slakter;0.62;0.604
smed;0.53;0.603
sminkør;-0.734;0.579
sosialantropolog;-0.126;0.621
sosiolog;-0.16;0.613
sosionom;-0.546;0.58
speditør;0.462;0.598
spesialpedagog;-0.856;0.487
statsviter;-0.132;0.691
stipendiat;-0.06;0.555
styrmann;0.936;0.695
sveiser;0.946;0.597
sykepleier;-0.792;0.676
sølvsmed;-0.088;0.652
takstmann;0.916;0.658
tak- og membrantekker;0.982;0.501
tannhelsesekretær;-0.944;0.393
tannlege;-0.22;0.313
tannpleier;-0.948;0.425
tanntekniker;-0.054;0.507
tavlemontør;0.848;0.572
taxisjåfør;0.786;0.671
teknisk tegner;0.252;0.611
tekstforfatter;-0.094;0.612
telekommunikasjonsmontør;0.902;0.649
toller;0.058;0.591
trafikklærer;0.524;0.638
tv-fotograf;0.356;0.43
tømrer;0.978;0.567
urmaker;0.724;0.624
byggdrifter / vaktmester;0.806;0.544
vekter;0.524;0.457
verktøymaker;0.978;0.599
vernepleier;-0.518;0.589
veterinær;-0.558;0.683
webdesigner;0.154;0.546
økonom;-0.24;0.661
økonomisjef;0.304;0.635
mediegrafiker;0.016;0.267
kjøttskjærer;0.902;0.552
finmekaniker;0.834;0.672
båtbygger;0.864;0.646
låsesmed;0.952;0.434
sjømathandler;0.182;0.576
asfaltør;0.832;0.676
banemontør;0.904;0.678
signalmontør;0.95;0.656
betongfagarbeider;0.978;0.622
reservedelsekspeditør;0.75;0.667
ikt-servicemedarbeider;0.45;0.574
herreskredder;-0.398;0.64
ernæringskokk;-0.568;0.336
produksjonselektroniker;0.344;0.549
brønnoperatør sementering;0.95;0.414
elektroreparatør;0.816;0.632
bunadtilvirker;-0.902;0.626
stillasbygger;0.988;0.593
bilskadereparatør;0.962;0.644
fjell- og bergverksarbeider;0.888;0.587
anleggsmaskinmekaniker;0.976;0.736
hestefaglært;-0.652;0.457
flysystemmekaniker;0.896;0.704
fagoperatør i limtreproduksjonsfaget;0.738;0.691
skogsoperatør;0.89;0.635
bore- og vedlikeholdsoperatør;0.832;0.692
gipsmaker;0.938;0.576
seilmaker;0.044;0.604
landbruksmaskinmekaniker;0.938;0.734
glassfagarbeider;0.854;0.614
steinfagarbeider;0.896;0.642
serigraf;0.566;0.552
energioperatør;0.876;0.577
tekstilrenser;-0.27;0.619
garver;-0.348;0.422
aluminiumskonstruktør;0.722;0.667
dataelektroniker;0.804;0.529
vei- og anleggsarbeider;0.902;0.713
litteraturviter;-0.192;0.682
spillprogrammerer;0.76;0.504
gravferdskonsulent;0.158;0.521
byggingeniør;0.63;0.64
brønnoperatør havbunnsinstallasjoner;0.936;0.684
kunsthistoriker;-0.244;0.689
avisbud;0.734;0.467
idrettsutøver;0.61;0.506
havnesjef;0.73;0.681
fotballdommer;-0.034;0.523
sportsdommer;-0.034;0.293
miljøterapeut;-0.396;0.314
psykoterapeut;-0.508;0.491
manuellterapeut;0.372;0.524
økonomikonsulent;-0.19;0.558
cnc-operatør;0.798;0.534
kjeveortoped;0.078;0.446
anestesisykepleier;-0.434;0.658
vikler;0.754;0.497
menighetspedagog;-0.384;0.493
kirkeverge;-0.036;0.535
utmarksforvalter;0.812;0.713
landbrukssjef;-0.038;0.702
planteinspektør;-0.438;0.667
landbruksrådgiver;0.05;0.523
mikrobiolog;-0.576;0.573
vinkelner;0.364;0.389
finansanalytiker;0.1;0.62
flyinstruktør;0.788;0.661
intensivsykepleier;-0.748;0.672
dramaturg;-0.334;0.596
marin bioteknolog;-0.224;0.549
samfunnsgeograf;-0.1;0.685
klinisk sosionom;-0.708;0.544
reindriftsutøver;0.81;0.49
barne- og ungdomspsykiater;-0.106;0.53
billedkunstner;-0.128;0.609
kunst- og kulturformidler;-0.318;0.403
lokomotivfører;0.858;0.71
trikkefører;0.546;0.58
undervisningsinspektør;-0.292;0.628
misjonær;0.144;0.685
branningeniør;0.808;0.683
farmasøyt;-0.628;0.43
rådgiver i offentlig sektor;-0.264;0.389
museumsformidler;-0.35;0.335
komposittbåtbygger;0.682;0.583
trebåtbygger;0.876;0.597
antikvar;-0.122;0.612
instrumentalpedagog;-0.094;0.635
fagoperatør i trelastfaget;0.772;0.67
maskinist;0.944;0.587
kommunikasjonsrådgiver;-0.24;0.403
driftsoperatør i idrettsanlegg;0.634;0.701
dimensjonskontrollør;0.854;0.586
fagoperatør i fiskeredskapsfaget;0.298;0.719
fagarbeider industriell matproduksjon;0.294;0.645
chassispåbygger;0.976;0.618
bilmekaniker (tunge kjøretøy);0.974;0.714
fagarbeider sjømatproduksjon;0.26;0.661
industrisnekker;0.802;0.5
strikkehåndverker;-1.0;0.565
eksponeringsdesigner;-0.64;0.598
flystrukturmekaniker;0.896;0.72
vaskerioperatør;-0.186;0.603
maskinsjef;0.988;0.601
prosessingeniør;0.556;0.607
kurator;-0.302;0.613
rekvisitør;0.462;0.562
musikkterapeut;-0.2;0.46
musikkprodusent;0.536;0.566
brønnoperatør for mekaniske kabeloperasjoner;0.824;0.666
allmennlege;0.216;0.424
overstyrmann;0.938;0.679
hjemmehjelp;-0.78;0.224
kaptein;0.98;0.569
personlig trener;-0.312;0.593
fabrikksjef. fiske;0.954;0.641
produktutvikler fiskefôr;0.714;0.519
fiskehelsebiolog;0.602;0.556
it-administrator;0.614;0.47
supportkonsulent;0.496;0.357
nettverkstekniker;0.77;0.439
fagoperatør i polymerkompositt / herdeplast;0.676;0.569
miljørådgiver;-0.06;0.441
adjunkt;-0.41;0.584
pedagogisk-psykologisk rådgiver (pp-rådgiver);-0.796;0.288
interaksjonsdesigner;0.36;0.565
fagoperatør i produksjonsteknikk;0.57;0.674
modellbygger;0.944;0.513
matteknolog;-0.304;0.56
samfunnsplanlegger;-0.03;0.69
arealplanlegger;-0.184;0.76
gjenvinningsoperatør;0.826;0.531
industriell overflatebehandler;0.928;0.563
jobbveileder;-0.42;0.519
advokatassistent;-0.846;0.724
ndt-kontrollør;0.838;0.563
støper;0.892;0.613
bilpleier;0.66;0.498
fagoperatør i plastfag;0.676;0.621
ingeniør i energi og miljø i bygg;0.614;0.658
pleiemedarbeider;-0.55;0.706
industrimontør;0.898;0.661
kantinemedarbeider;-0.278;0.659
profileringsdesigner;-0.056;0.56
miljøarbeider;-0.272;0.689
personalrådgiver;-0.308;0.465
fagoperatør i termoplast;0.684;0.629
innkjøper;0.218;0.59
fagoperatør i grafisk produksjonsteknikk;0.518;0.645
støttekontakt;-0.202;0.113
systemutvikler;0.62;0.321
telefonselger;0.186;0.499
salgssjef;0.518;0.622
kjøkkensjef;0.342;0.596
studiekonsulent;-0.418;0.41
hjelpearbeider innen bygg og anlegg;0.822;0.698
familierådgiver;-0.578;0.42
hotellmedarbeider;-0.342;0.627
skolefritidsleder (sfo);-0.614;0.487
kundeansvarlig (salg);0.29;0.563
forretningsutvikler;0.266;0.601
barista;-0.572;0.521
it-leder;0.666;0.393
veiplanlegger;0.364;0.701
avløser;0.362;0.493
jordskiftekandidat;0.502;0.6
geodataingeniør;0.384;0.671
it-arkitekt;0.66;0.607
statistiker;0.126;0.6
it-prosjektleder;0.218;0.355
jordskiftedommer;0.484;0.122
røkter;0.626;0.42
lufthavnbetjent;0.89;0.629
trafikkbetjent (parkering);0.514;0.661
arrangementsplanlegger;0.016;0.639
barnehagestyrer;-0.788;0.662
filmfotograf;0.316;0.587
flymekaniker;0.886;0.681
flytekniker;0.91;0.568
dyrefagarbeider;-0.726;0.556
brønnborer fastland;0.968;0.526
sikkerhetsrådgiver (it);0.682;0.379
dataanalytiker (data scientist);0.582;0.678
anleggsrørlegger;0.992;0.562
medietekniker;0.786;0.488
ventilasjonstekniker;0.954;0.56
fagoperatør i trelast- og limtreproduksjon;0.852;0.752
fagoperatør i industritekstilfaget;-0.468;0.678
forlagsmedarbeider;-0.316;0.667
kulturskolelærer;-0.318;0.645
