ATTRIBUTE,GOLD,PRED
marinbiolog,-0.236,0.085
markedsfører,-0.15,0.007
markedssjef,0.206,0.013
maskiningeniør,0.836,0.089
maskør- og parykkmaker,-0.738,0.21
massasjeterapeut,-0.658,-0.126
matematiker,-0.04,0.041
matros,0.888,0.062
mediedesigner,0.02,-0.041
megler,0.368,0.005
mekaniker,0.958,0.098
meteorolog,0.088,0.026
modell,-0.368,-0.024
skipsmotormekaniker,0.978,0.142
motormekaniker,0.976,0.124
mur-og flislegger,0.98,0.172
musiker,0.172,0.03
musikkpedagog,-0.128,-0.04
møbelsnekker,0.81,0.139
møbeltapetserer,0.416,0.044
naturforvalter,0.662,0.02
negledesigner,-0.908,-0.022
mattekniker,-0.294,0.006
optiker,-0.286,0.022
organist/kantor,0.204,-0.019
ortoped,0.542,0.049
ortopediingeniør,-0.154,0.009
ortopeditekniker,0.302,-0.007
oversetter,-0.232,0.001
personalsjef,-0.388,0.008
petroleumsingeniør,0.586,0.116
pilot,0.91,0.016
platearbeider,0.976,0.087
politi,0.252,0.03
politibetjent,0.288,0.021
politijurist,-0.082,0.044
politiker,-0.034,0.012
portør,0.464,-0.006
postbud,0.152,0.034
prest,0.33,0.051
professor,0.336,0.038
fagoperatør i kjemisk prosessindustri (prosesstekniker),0.7,0.046
psykiater,-0.106,0.054
psykolog,-0.51,0.01
radiograf,-0.486,0.004
radiolog,0.162,0.07
redaktør,0.006,0.006
regissør,0.098,0.015
regnskapsfører,-0.474,0.014
reiselivsmedarbeider,-0.352,-0.036
reiseleder,-0.06,-0.021
renholdsoperatør,-0.548,-0.03
resepsjonist,-0.182,-0.042
reseptarfarmasøyt,-0.632,-0.012
revisor,0.026,0.037
ridelærer,-0.826,0.006
rørlegger,0.972,0.087
saksbehandler,-0.474,-0.037
samfunnsøkonom,0.032,0.026
sanger,-0.164,-0.009
scenograf,-0.382,-0.008
servitør,-0.262,-0.036
sivilingeniør,0.572,0.077
siviløkonom,-0.01,0.038
maritim elektriker,0.976,0.046
skipsmegler,0.73,0.089
skoleassistent,-0.398,-0.067
rektor/skoleleder,-0.174,-0.015
skomaker,0.394,0.098
skuespiller,0.002,-0.011
slakter,0.62,0.071
smed,0.53,0.052
sminkør,-0.734,-0.069
sosialantropolog,-0.126,-0.011
sosiolog,-0.16,0.013
sosionom,-0.546,-0.086
speditør,0.462,0.032
spesialpedagog,-0.856,-0.065
statsviter,-0.132,0.029
stipendiat,-0.06,-0.042
styrmann,0.936,0.097
sveiser,0.946,0.072
sykepleier,-0.792,-0.107
sølvsmed,-0.088,0.057
takstmann,0.916,0.032
tak- og membrantekker,0.982,0.028
tannhelsesekretær,-0.944,-0.102
tannlege,-0.22,0.03
tannpleier,-0.948,-0.117
tanntekniker,-0.054,0.017
tavlemontør,0.848,0.069
taxisjåfør,0.786,0.073
teknisk tegner,0.252,0.148
tekstforfatter,-0.094,0.006
telekommunikasjonsmontør,0.902,0.06
toller,0.058,0.053
trafikklærer,0.524,0.016
tv-fotograf,0.356,0.034
tømrer,0.978,0.102
urmaker,0.724,0.088
byggdrifter / vaktmester,0.806,0.009
vekter,0.524,0.03
verktøymaker,0.978,0.077
vernepleier,-0.518,-0.143
veterinær,-0.558,-0.019
webdesigner,0.154,-0.012
økonom,-0.24,0.037
økonomisjef,0.304,0.009
mediegrafiker,0.016,0.023
kjøttskjærer,0.902,0.13
finmekaniker,0.834,0.146
båtbygger,0.864,0.094
låsesmed,0.952,0.05
sjømathandler,0.182,0.015
asfaltør,0.832,0.058
banemontør,0.904,0.073
signalmontør,0.95,0.071
betongfagarbeider,0.978,0.061
reservedelsekspeditør,0.75,-0.03
ikt-servicemedarbeider,0.45,-0.051
herreskredder,-0.398,0.048
ernæringskokk,-0.568,0.017
produksjonselektroniker,0.344,0.024
brønnoperatør sementering,0.95,0.05
elektroreparatør,0.816,0.104
bunadtilvirker,-0.902,0.017
stillasbygger,0.988,0.108
bilskadereparatør,0.962,0.068
fjell- og bergverksarbeider,0.888,0.181
anleggsmaskinmekaniker,0.976,0.115
hestefaglært,-0.652,0.023
flysystemmekaniker,0.896,0.11
fagoperatør i limtreproduksjonsfaget,0.738,0.001
skogsoperatør,0.89,0.103
bore- og vedlikeholdsoperatør,0.832,0.061
gipsmaker,0.938,0.129
seilmaker,0.044,0.122
landbruksmaskinmekaniker,0.938,0.133
glassfagarbeider,0.854,0.033
steinfagarbeider,0.896,0.082
serigraf,0.566,0.004
energioperatør,0.876,0.003
tekstilrenser,-0.27,-0.007
garver,-0.348,0.122
aluminiumskonstruktør,0.722,0.163
dataelektroniker,0.804,0.068
vei- og anleggsarbeider,0.902,0.111
litteraturviter,-0.192,0.027
spillprogrammerer,0.76,0.028
gravferdskonsulent,0.158,-0.097
byggingeniør,0.63,0.077
brønnoperatør havbunnsinstallasjoner,0.936,0.088
kunsthistoriker,-0.244,0.029
avisbud,0.734,0.06
idrettsutøver,0.61,-0.004
havnesjef,0.73,-0.006
fotballdommer,-0.034,0.042
sportsdommer,-0.034,0.048
miljøterapeut,-0.396,-0.11
psykoterapeut,-0.508,-0.07
manuellterapeut,0.372,-0.084
økonomikonsulent,-0.19,-0.021
cnc-operatør,0.798,0.042
kjeveortoped,0.078,0.026
anestesisykepleier,-0.434,-0.149
vikler,0.754,0.013
menighetspedagog,-0.384,-0.129
kirkeverge,-0.036,-0.015
utmarksforvalter,0.812,0.01
landbrukssjef,-0.038,0.026
planteinspektør,-0.438,0.048
landbruksrådgiver,0.05,-0.021
mikrobiolog,-0.576,0.062
vinkelner,0.364,0.035
finansanalytiker,0.1,0.034
flyinstruktør,0.788,0.1
intensivsykepleier,-0.748,-0.158
dramaturg,-0.334,0.001
marin bioteknolog,-0.224,0.053
samfunnsgeograf,-0.1,-0.007
klinisk sosionom,-0.708,-0.169
reindriftsutøver,0.81,0.012
barne- og ungdomspsykiater,-0.106,-0.078
billedkunstner,-0.128,-0.028
kunst- og kulturformidler,-0.318,-0.044
lokomotivfører,0.858,0.067
trikkefører,0.546,0.054
undervisningsinspektør,-0.292,0.013
misjonær,0.144,0.038
branningeniør,0.808,0.097
farmasøyt,-0.628,-0.064
rådgiver i offentlig sektor,-0.264,-0.048
museumsformidler,-0.35,-0.031
komposittbåtbygger,0.682,0.104
trebåtbygger,0.876,0.164
antikvar,-0.122,0.027
instrumentalpedagog,-0.094,-0.049
fagoperatør i trelastfaget,0.772,0.049
maskinist,0.944,0.078
kommunikasjonsrådgiver,-0.24,-0.046
driftsoperatør i idrettsanlegg,0.634,-0.001
dimensjonskontrollør,0.854,0.056
fagoperatør i fiskeredskapsfaget,0.298,0.069
fagarbeider industriell matproduksjon,0.294,-0.039
chassispåbygger,0.976,0.05
bilmekaniker (tunge kjøretøy),0.974,0.072
fagarbeider sjømatproduksjon,0.26,-0.042
industrisnekker,0.802,0.138
strikkehåndverker,-1.0,-0.031
eksponeringsdesigner,-0.64,-0.014
flystrukturmekaniker,0.896,0.118
vaskerioperatør,-0.186,-0.003
maskinsjef,0.988,0.049
prosessingeniør,0.556,0.05
kurator,-0.302,-0.068
rekvisitør,0.462,0.019
musikkterapeut,-0.2,-0.09
musikkprodusent,0.536,0.042
brønnoperatør for mekaniske kabeloperasjoner,0.824,0.099
allmennlege,0.216,0.008
overstyrmann,0.938,0.1
hjemmehjelp,-0.78,-0.09
kaptein,0.98,0.06
personlig trener,-0.312,-0.021
fabrikksjef. fiske,0.954,0.062
produktutvikler fiskefôr,0.714,0.027
fiskehelsebiolog,0.602,0.068
it-administrator,0.614,-0.001
supportkonsulent,0.496,-0.036
nettverkstekniker,0.77,0.018
fagoperatør i polymerkompositt / herdeplast,0.676,0.0
miljørådgiver,-0.06,-0.043
adjunkt,-0.41,0.003
pedagogisk-psykologisk rådgiver (pp-rådgiver),-0.796,-0.093
interaksjonsdesigner,0.36,-0.028
fagoperatør i produksjonsteknikk,0.57,-0.003
modellbygger,0.944,0.06
matteknolog,-0.304,-0.001
samfunnsplanlegger,-0.03,0.03
arealplanlegger,-0.184,0.048
gjenvinningsoperatør,0.826,0.005
industriell overflatebehandler,0.928,0.007
jobbveileder,-0.42,-0.059
advokatassistent,-0.846,-0.043
ndt-kontrollør,0.838,0.07
støper,0.892,0.072
bilpleier,0.66,-0.048
fagoperatør i plastfag,0.676,-0.04
ingeniør i energi og miljø i bygg,0.614,0.054
pleiemedarbeider,-0.55,-0.098
industrimontør,0.898,0.06
kantinemedarbeider,-0.278,-0.09
profileringsdesigner,-0.056,0.012
miljøarbeider,-0.272,-0.067
personalrådgiver,-0.308,-0.062
fagoperatør i termoplast,0.684,0.008
innkjøper,0.218,-0.004
fagoperatør i grafisk produksjonsteknikk,0.518,-0.024
støttekontakt,-0.202,-0.075
systemutvikler,0.62,0.012
telefonselger,0.186,0.043
salgssjef,0.518,-0.01
kjøkkensjef,0.342,-0.009
studiekonsulent,-0.418,-0.066
hjelpearbeider innen bygg og anlegg,0.822,0.024
familierådgiver,-0.578,-0.051
hotellmedarbeider,-0.342,0.037
skolefritidsleder (sfo),-0.614,-0.112
kundeansvarlig (salg),0.29,-0.051
forretningsutvikler,0.266,0.014
barista,-0.572,0.034
it-leder,0.666,-0.004
veiplanlegger,0.364,0.066
avløser,0.362,-0.008
jordskiftekandidat,0.502,0.027
geodataingeniør,0.384,0.056
it-arkitekt,0.66,0.069
statistiker,0.126,0.04
it-prosjektleder,0.218,-0.034
jordskiftedommer,0.484,0.058
røkter,0.626,0.052
lufthavnbetjent,0.89,0.013
trafikkbetjent (parkering),0.514,-0.017
arrangementsplanlegger,0.016,0.003
barnehagestyrer,-0.788,-0.056
filmfotograf,0.316,0.04
flymekaniker,0.886,0.138
flytekniker,0.91,0.1
dyrefagarbeider,-0.726,0.041
brønnborer fastland,0.968,0.021
sikkerhetsrådgiver (it),0.682,0.017
dataanalytiker (data scientist),0.582,0.068
anleggsrørlegger,0.992,0.086
medietekniker,0.786,0.009
ventilasjonstekniker,0.954,0.037
fagoperatør i trelast- og limtreproduksjon,0.852,0.006
fagoperatør i industritekstilfaget,-0.468,0.011
forlagsmedarbeider,-0.316,-0.004
kulturskolelærer,-0.318,-0.087
