ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
slave;0;2;0;0.011;0.011
trener;0;2;0;0.031;0.031
storesøster;1;0;0.013;0;-0.013
prosess;1;0;0.04;0;-0.04
gave;1;0;0.028;0;-0.028
illusjon;1;0;0.02;0;-0.02
lek;1;0;0.019;0;-0.019
kunst;1;0;0.015;0;-0.015
søndag;1;0;0.041;0;-0.041
fest;1;0;0.021;0;-0.021
lørdag;1;0;0.02;0;-0.02
jomfru;1;0;0.035;0;-0.035
myte;1;0;0.009;0;-0.009
saga;1;0;0.018;0;-0.018
slektning;1;0;0.013;0;-0.013
nora;1;0;0.012;0;-0.012
husmor;1;0;0.037;0;-0.037
side;1;0;0.03;0;-0.03
nyere;1;0;0.017;0;-0.017
helgen;1;0;0.015;0;-0.015
line;1;0;0.049;0;-0.049
bønn;0;1;0;0.014;0.014
elev;0;1;0;0.014;0.014
stian;0;1;0;0.012;0.012
bjørn;0;1;0;0.039;0.039
ulv;0;1;0;0.01;0.01
hund;0;1;0;0.007;0.007
gris;0;1;0;0.011;0.011
bror;0;1;0;0.015;0.015
venn;0;1;0;0.012;0.012
jotun;0;1;0;0.013;0.013
vulkan;0;1;0;0.011;0.011
del;0;1;0;0.007;0.007
karl;0;1;0;0.011;0.011
william;0;1;0;0.013;0.013
profet;0;1;0;0.033;0.033
johannes;0;1;0;0.022;0.022
demon;0;1;0;0.02;0.02
ildsjel;0;1;0;0.01;0.01
prest;0;1;0;0.013;0.013
alltid;0;1;0;0.016;0.016
planlagt;0;1;0;0.029;0.029
ener;0;1;0;0.012;0.012
