ATTRIBUTE;GOLD;PRED
ingeniør i energi og miljø i bygg;0.614;-0.057
pleiemedarbeider;-0.55;-0.166
industrimontør;0.898;0.003
kantinemedarbeider;-0.278;-0.133
profileringsdesigner;-0.056;-0.057
miljøarbeider;-0.272;-0.134
personalrådgiver;-0.308;-0.095
fagoperatør i termoplast;0.684;-0.031
innkjøper;0.218;-0.064
fagoperatør i grafisk produksjonsteknikk;0.518;-0.058
støttekontakt;-0.202;-0.177
systemutvikler;0.62;-0.027
telefonselger;0.186;-0.004
salgssjef;0.518;-0.059
kjøkkensjef;0.342;-0.045
studiekonsulent;-0.418;-0.136
hjelpearbeider innen bygg og anlegg;0.822;-0.011
familierådgiver;-0.578;-0.114
hotellmedarbeider;-0.342;-0.034
skolefritidsleder (sfo);-0.614;-0.212
kundeansvarlig (salg);0.29;-0.112
forretningsutvikler;0.266;-0.029
barista;-0.572;-0.036
it-leder;0.666;-0.077
veiplanlegger;0.364;0.019
avløser;0.362;-0.064
jordskiftekandidat;0.502;-0.072
geodataingeniør;0.384;0.019
it-arkitekt;0.66;-0.019
statistiker;0.126;0.004
it-prosjektleder;0.218;-0.09
jordskiftedommer;0.484;-0.021
røkter;0.626;0.046
lufthavnbetjent;0.89;-0.028
trafikkbetjent (parkering);0.514;-0.074
arrangementsplanlegger;0.016;-0.064
barnehagestyrer;-0.788;-0.174
filmfotograf;0.316;-0.014
flymekaniker;0.886;0.061
flytekniker;0.91;0.032
dyrefagarbeider;-0.726;-0.034
brønnborer fastland;0.968;0.056
sikkerhetsrådgiver (it);0.682;-0.045
dataanalytiker (data scientist);0.582;0.027
anleggsrørlegger;0.992;-0.002
medietekniker;0.786;-0.074
ventilasjonstekniker;0.954;-0.047
fagoperatør i trelast- og limtreproduksjon;0.852;-0.027
fagoperatør i industritekstilfaget;-0.468;-0.044
forlagsmedarbeider;-0.316;-0.083
kulturskolelærer;-0.318;-0.224
