ATTRIBUTE;GOLD;PRED
lydtekniker;0.866;-0.001
lystekniker;0.51;-0.009
lærer;-0.378;-0.016
maler;0.876;-0.013
marinbiolog;-0.236;-0.001
markedsfører;-0.15;-0.006
markedssjef;0.206;-0.003
maskiningeniør;0.836;-0.001
maskør- og parykkmaker;-0.738;-0.007
massasjeterapeut;-0.658;-0.033
matematiker;-0.04;-0.013
matros;0.888;0.004
mediedesigner;0.02;-0.018
megler;0.368;0.001
mekaniker;0.958;0.005
meteorolog;0.088;0.002
modell;-0.368;-0.019
skipsmotormekaniker;0.978;0.005
motormekaniker;0.976;0.001
mur-og flislegger;0.98;0.008
musiker;0.172;-0.008
musikkpedagog;-0.128;-0.037
møbelsnekker;0.81;-0.005
møbeltapetserer;0.416;-0.02
naturforvalter;0.662;0.002
negledesigner;-0.908;-0.038
mattekniker;-0.294;-0.02
optiker;-0.286;-0.018
organist/kantor;0.204;-0.008
ortoped;0.542;-0.004
ortopediingeniør;-0.154;-0.007
ortopeditekniker;0.302;-0.014
oversetter;-0.232;-0.017
personalsjef;-0.388;-0.002
petroleumsingeniør;0.586;-0.006
pilot;0.91;-0.005
platearbeider;0.976;-0.003
politi;0.252;-0.006
politibetjent;0.288;-0.008
politijurist;-0.082;-0.01
politiker;-0.034;-0.006
portør;0.464;0.002
postbud;0.152;-0.021
prest;0.33;-0.0
professor;0.336;0.0
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.7;-0.003
psykiater;-0.106;0.011
psykolog;-0.51;-0.016
radiograf;-0.486;-0.011
radiolog;0.162;0.004
redaktør;0.006;-0.001
regissør;0.098;-0.014
regnskapsfører;-0.474;0.003
reiselivsmedarbeider;-0.352;-0.022
reiseleder;-0.06;-0.008
renholdsoperatør;-0.548;-0.01
resepsjonist;-0.182;-0.016
reseptarfarmasøyt;-0.632;-0.037
revisor;0.026;0.004
ridelærer;-0.826;-0.03
rørlegger;0.972;-0.001
saksbehandler;-0.474;-0.004
samfunnsøkonom;0.032;-0.008
sanger;-0.164;-0.017
scenograf;-0.382;-0.035
servitør;-0.262;-0.02
sivilingeniør;0.572;0.004
siviløkonom;-0.01;-0.016
maritim elektriker;0.976;0.01
skipsmegler;0.73;0.016
skoleassistent;-0.398;-0.066
rektor/skoleleder;-0.174;-0.015
skomaker;0.394;-0.003
skuespiller;0.002;-0.025
slakter;0.62;0.008
smed;0.53;0.005
sminkør;-0.734;-0.028
sosialantropolog;-0.126;-0.04
sosiolog;-0.16;-0.016
sosionom;-0.546;-0.038
speditør;0.462;-0.01
spesialpedagog;-0.856;-0.047
statsviter;-0.132;-0.013
stipendiat;-0.06;-0.032
styrmann;0.936;0.016
sveiser;0.946;-0.003
sykepleier;-0.792;-0.035
sølvsmed;-0.088;-0.013
takstmann;0.916;0.025
tak- og membrantekker;0.982;0.012
tannhelsesekretær;-0.944;-0.019
tannlege;-0.22;-0.014
tannpleier;-0.948;-0.037
tanntekniker;-0.054;-0.007
tavlemontør;0.848;-0.002
taxisjåfør;0.786;-0.009
teknisk tegner;0.252;0.0
tekstforfatter;-0.094;-0.014
telekommunikasjonsmontør;0.902;0.003
toller;0.058;-0.001
trafikklærer;0.524;-0.033
tv-fotograf;0.356;-0.013
tømrer;0.978;-0.006
urmaker;0.724;0.013
byggdrifter / vaktmester;0.806;0.002
vekter;0.524;-0.003
verktøymaker;0.978;0.007
vernepleier;-0.518;-0.041
veterinær;-0.558;-0.009
webdesigner;0.154;-0.008
økonom;-0.24;-0.004
økonomisjef;0.304;0.003
mediegrafiker;0.016;-0.012
kjøttskjærer;0.902;-0.003
finmekaniker;0.834;-0.004
båtbygger;0.864;0.003
låsesmed;0.952;-0.001
sjømathandler;0.182;0.003
asfaltør;0.832;0.005
banemontør;0.904;0.003
signalmontør;0.95;0.003
betongfagarbeider;0.978;-0.012
reservedelsekspeditør;0.75;-0.001
ikt-servicemedarbeider;0.45;-0.011
herreskredder;-0.398;0.003
ernæringskokk;-0.568;-0.012
produksjonselektroniker;0.344;0.011
brønnoperatør sementering;0.95;0.01
elektroreparatør;0.816;0.003
bunadtilvirker;-0.902;-0.015
stillasbygger;0.988;0.008
bilskadereparatør;0.962;-0.003
fjell- og bergverksarbeider;0.888;-0.002
anleggsmaskinmekaniker;0.976;0.003
hestefaglært;-0.652;-0.017
flysystemmekaniker;0.896;-0.004
fagoperatør i limtreproduksjonsfaget;0.738;-0.004
skogsoperatør;0.89;0.004
bore- og vedlikeholdsoperatør;0.832;0.011
gipsmaker;0.938;0.007
seilmaker;0.044;0.005
landbruksmaskinmekaniker;0.938;-0.002
glassfagarbeider;0.854;-0.022
steinfagarbeider;0.896;-0.006
serigraf;0.566;-0.013
energioperatør;0.876;-0.001
tekstilrenser;-0.27;-0.007
garver;-0.348;0.001
aluminiumskonstruktør;0.722;0.009
dataelektroniker;0.804;0.003
vei- og anleggsarbeider;0.902;-0.008
litteraturviter;-0.192;-0.031
spillprogrammerer;0.76;0.002
gravferdskonsulent;0.158;-0.011
byggingeniør;0.63;-0.002
brønnoperatør havbunnsinstallasjoner;0.936;0.0
kunsthistoriker;-0.244;-0.018
avisbud;0.734;-0.02
idrettsutøver;0.61;-0.005
havnesjef;0.73;0.006
fotballdommer;-0.034;-0.003
sportsdommer;-0.034;0.001
miljøterapeut;-0.396;-0.022
psykoterapeut;-0.508;-0.011
manuellterapeut;0.372;-0.02
økonomikonsulent;-0.19;-0.012
cnc-operatør;0.798;0.008
kjeveortoped;0.078;-0.002
anestesisykepleier;-0.434;-0.047
vikler;0.754;0.002
menighetspedagog;-0.384;-0.027
kirkeverge;-0.036;-0.005
utmarksforvalter;0.812;0.014
landbrukssjef;-0.038;0.001
planteinspektør;-0.438;-0.011
landbruksrådgiver;0.05;-0.008
mikrobiolog;-0.576;-0.004
vinkelner;0.364;-0.0
finansanalytiker;0.1;0.015
flyinstruktør;0.788;-0.013
intensivsykepleier;-0.748;-0.048
dramaturg;-0.334;-0.02
marin bioteknolog;-0.224;-0.002
samfunnsgeograf;-0.1;-0.013
klinisk sosionom;-0.708;-0.032
reindriftsutøver;0.81;-0.002
barne- og ungdomspsykiater;-0.106;-0.016
billedkunstner;-0.128;-0.03
kunst- og kulturformidler;-0.318;-0.02
lokomotivfører;0.858;-0.003
trikkefører;0.546;-0.013
undervisningsinspektør;-0.292;-0.013
misjonær;0.144;-0.008
branningeniør;0.808;0.004
farmasøyt;-0.628;-0.023
rådgiver i offentlig sektor;-0.264;-0.013
museumsformidler;-0.35;-0.015
komposittbåtbygger;0.682;0.012
trebåtbygger;0.876;0.01
antikvar;-0.122;0.002
instrumentalpedagog;-0.094;-0.015
fagoperatør i trelastfaget;0.772;-0.001
maskinist;0.944;0.013
kommunikasjonsrådgiver;-0.24;-0.007
driftsoperatør i idrettsanlegg;0.634;0.0
dimensjonskontrollør;0.854;0.009
fagoperatør i fiskeredskapsfaget;0.298;0.004
fagarbeider industriell matproduksjon;0.294;-0.019
chassispåbygger;0.976;0.01
bilmekaniker (tunge kjøretøy);0.974;-0.004
fagarbeider sjømatproduksjon;0.26;-0.014
industrisnekker;0.802;0.006
strikkehåndverker;-1.0;-0.029
eksponeringsdesigner;-0.64;-0.009
flystrukturmekaniker;0.896;-0.003
vaskerioperatør;-0.186;-0.021
maskinsjef;0.988;0.009
prosessingeniør;0.556;-0.004
kurator;-0.302;-0.029
rekvisitør;0.462;-0.013
musikkterapeut;-0.2;-0.028
musikkprodusent;0.536;-0.014
brønnoperatør for mekaniske kabeloperasjoner;0.824;0.02
allmennlege;0.216;0.002
overstyrmann;0.938;0.023
hjemmehjelp;-0.78;-0.05
kaptein;0.98;0.003
personlig trener;-0.312;0.007
fabrikksjef. fiske;0.954;0.03
produktutvikler fiskefôr;0.714;-0.007
fiskehelsebiolog;0.602;-0.001
it-administrator;0.614;0.003
supportkonsulent;0.496;-0.003
nettverkstekniker;0.77;0.006
fagoperatør i polymerkompositt / herdeplast;0.676;0.002
miljørådgiver;-0.06;-0.003
adjunkt;-0.41;-0.024
pedagogisk-psykologisk rådgiver (pp-rådgiver);-0.796;-0.025
interaksjonsdesigner;0.36;-0.005
fagoperatør i produksjonsteknikk;0.57;-0.004
modellbygger;0.944;0.003
matteknolog;-0.304;-0.025
samfunnsplanlegger;-0.03;-0.011
arealplanlegger;-0.184;-0.009
gjenvinningsoperatør;0.826;-0.0
industriell overflatebehandler;0.928;0.001
jobbveileder;-0.42;-0.014
advokatassistent;-0.846;-0.007
ndt-kontrollør;0.838;0.01
støper;0.892;-0.003
bilpleier;0.66;-0.047
fagoperatør i plastfag;0.676;-0.01
ingeniør i energi og miljø i bygg;0.614;-0.008
pleiemedarbeider;-0.55;-0.038
industrimontør;0.898;-0.0
kantinemedarbeider;-0.278;-0.023
profileringsdesigner;-0.056;-0.011
miljøarbeider;-0.272;-0.021
personalrådgiver;-0.308;-0.012
fagoperatør i termoplast;0.684;0.002
innkjøper;0.218;-0.007
fagoperatør i grafisk produksjonsteknikk;0.518;-0.014
støttekontakt;-0.202;-0.027
systemutvikler;0.62;-0.003
telefonselger;0.186;-0.011
salgssjef;0.518;-0.004
kjøkkensjef;0.342;-0.011
studiekonsulent;-0.418;-0.025
hjelpearbeider innen bygg og anlegg;0.822;-0.019
familierådgiver;-0.578;-0.011
hotellmedarbeider;-0.342;-0.015
skolefritidsleder (sfo);-0.614;-0.037
kundeansvarlig (salg);0.29;-0.002
forretningsutvikler;0.266;0.007
barista;-0.572;-0.025
it-leder;0.666;-0.003
veiplanlegger;0.364;-0.008
avløser;0.362;-0.001
jordskiftekandidat;0.502;-0.009
geodataingeniør;0.384;-0.004
it-arkitekt;0.66;-0.002
statistiker;0.126;-0.006
it-prosjektleder;0.218;-0.006
jordskiftedommer;0.484;0.006
røkter;0.626;-0.004
lufthavnbetjent;0.89;-0.015
trafikkbetjent (parkering);0.514;-0.008
arrangementsplanlegger;0.016;-0.002
barnehagestyrer;-0.788;-0.047
filmfotograf;0.316;-0.012
flymekaniker;0.886;-0.011
flytekniker;0.91;0.002
dyrefagarbeider;-0.726;-0.022
brønnborer fastland;0.968;-0.001
sikkerhetsrådgiver (it);0.682;-0.004
dataanalytiker (data scientist);0.582;-0.005
anleggsrørlegger;0.992;0.009
medietekniker;0.786;-0.008
ventilasjonstekniker;0.954;0.005
fagoperatør i trelast- og limtreproduksjon;0.852;0.003
fagoperatør i industritekstilfaget;-0.468;-0.016
forlagsmedarbeider;-0.316;-0.033
kulturskolelærer;-0.318;-0.051
