ATTRIBUTE;GOLD;PRED
flygeleder;0.514;0.034
flymotormekaniker;0.892;0.071
forfatter;-0.114;0.003
forsikringsrådgiver;0.05;-0.018
forsker;0.072;0.022
fotballspiller;0.754;0.111
fotballtrener;0.762;0.067
fotograf;0.332;-0.011
fotojournalist;0.564;-0.006
fotterapeut;-0.908;-0.036
frisør;-0.776;-0.052
fu-operatør;0.814;0.12
fysioterapeut;-0.526;-0.026
barnehagelærer;-0.812;-0.059
gartner;0.052;0.023
geofysiker;0.33;0.014
geograf;-0.1;0.012
geolog;0.338;0.034
glassblåser;0.426;0.004
grafisk designer;-0.038;-0.012
guide;0.008;-0.013
gullsmed;-0.16;0.04
havforsker;0.292;0.081
heismontør;0.982;0.054
helsesekretær;-0.97;-0.035
helsesykepleier;-0.984;-0.1
helsefagarbeider;-0.678;-0.013
hms-ingeniør;0.17;0.014
hotelldirektør;0.294;0.124
hovmester;-0.126;0.109
hovslager;0.454;0.007
hudpleier;-0.986;-0.049
husøkonom;-0.672;0.013
hydrolog;0.302;0.061
idrettskonsulent;0.278;-0.015
idrettstrener;0.036;0.025
illustratør;-0.194;-0.025
industridesigner;0.408;0.0
industrimaler;0.972;0.055
industrimekaniker;0.908;0.054
industrirørlegger;0.966;0.045
ingeniør;0.584;0.022
inspisient;0.066;0.007
interiørarkitekt;-0.722;-0.016
interiørkonsulent;-0.718;-0.059
isolatør;0.976;0.006
it-konsulent;0.562;0.002
jordmor;-0.998;-0.103
journalist;0.072;0.005
jurist;-0.284;0.009
kabinpersonale fly;-0.564;0.031
karriereveileder;-0.418;-0.032
kateket;-0.444;-0.022
kirketjener;0.382;0.031
kiropraktor;0.284;-0.006
kjemiingeniør;-0.134;0.031
kjemiker;-0.134;0.03
kjole- og draktsyer;-0.756;-0.189
klesdesigner;-0.74;-0.032
konditor;-0.44;0.007
konduktør;0.136;0.04
konservator;-0.372;0.076
service- og administrasjonsmedarbeider;-0.428;-0.026
kosmetolog;-0.946;-0.093
kostymesyer;-0.908;-0.06
kostøkonom;-0.186;0.016
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;0.014
kulde- og varmepumpetekniker;0.974;0.005
kunderådgiver i bank;-0.1;-0.038
kunsthåndverker;0.038;0.0
kunstner;-0.034;0.015
kystskipper;0.976;0.083
laborant;-0.326;0.038
landmåler;0.45;0.097
landskapsarkitekt;-0.326;-0.005
yrkessjåfør;0.91;0.07
leder;0.306;0.003
lege;-0.086;-0.023
legemiddelkonsulent;-0.046;-0.024
lektor;-0.246;0.007
logistikkoperatør;0.624;0.006
logoped;-0.862;-0.023
los;0.956;0.084
lydtekniker;0.866;-0.003
lystekniker;0.51;0.016
lærer;-0.378;-0.024
maler;0.876;-0.011
marinbiolog;-0.236;0.053
markedsfører;-0.15;0.017
markedssjef;0.206;0.03
maskiningeniør;0.836;0.034
maskør- og parykkmaker;-0.738;-0.102
massasjeterapeut;-0.658;-0.066
matematiker;-0.04;0.035
matros;0.888;0.004
mediedesigner;0.02;-0.014
megler;0.368;0.03
mekaniker;0.958;0.044
meteorolog;0.088;0.031
modell;-0.368;-0.076
skipsmotormekaniker;0.978;0.074
motormekaniker;0.976;0.04
mur-og flislegger;0.98;0.001
musiker;0.172;0.016
musikkpedagog;-0.128;-0.064
møbelsnekker;0.81;-0.003
møbeltapetserer;0.416;-0.02
naturforvalter;0.662;0.034
negledesigner;-0.908;-0.049
mattekniker;-0.294;-0.006
optiker;-0.286;0.024
organist/kantor;0.204;0.006
ortoped;0.542;0.031
ortopediingeniør;-0.154;-0.003
ortopeditekniker;0.302;0.003
oversetter;-0.232;0.029
personalsjef;-0.388;0.044
petroleumsingeniør;0.586;0.023
pilot;0.91;0.084
platearbeider;0.976;0.03
politi;0.252;0.052
politibetjent;0.288;0.063
politijurist;-0.082;0.103
politiker;-0.034;0.064
portør;0.464;0.019
postbud;0.152;-0.008
prest;0.33;0.048
professor;0.336;0.068
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.7;0.028
psykiater;-0.106;-0.007
psykolog;-0.51;-0.0
radiograf;-0.486;-0.01
radiolog;0.162;0.021
redaktør;0.006;0.056
regissør;0.098;-0.008
regnskapsfører;-0.474;0.001
reiselivsmedarbeider;-0.352;-0.003
reiseleder;-0.06;-0.021
renholdsoperatør;-0.548;-0.008
resepsjonist;-0.182;-0.038
reseptarfarmasøyt;-0.632;-0.133
revisor;0.026;0.032
ridelærer;-0.826;-0.026
rørlegger;0.972;0.03
saksbehandler;-0.474;0.004
samfunnsøkonom;0.032;-0.005
sanger;-0.164;-0.022
scenograf;-0.382;-0.017
servitør;-0.262;0.02
sivilingeniør;0.572;0.023
siviløkonom;-0.01;0.027
maritim elektriker;0.976;0.038
skipsmegler;0.73;0.059
skoleassistent;-0.398;-0.016
rektor/skoleleder;-0.174;0.007
skomaker;0.394;0.04
skuespiller;0.002;0.027
slakter;0.62;0.01
smed;0.53;0.016
sminkør;-0.734;-0.038
sosialantropolog;-0.126;-0.018
sosiolog;-0.16;-0.011
sosionom;-0.546;0.016
speditør;0.462;-0.042
spesialpedagog;-0.856;-0.075
statsviter;-0.132;0.064
stipendiat;-0.06;0.029
styrmann;0.936;0.127
sveiser;0.946;0.035
sykepleier;-0.792;-0.03
sølvsmed;-0.088;0.046
takstmann;0.916;0.117
tak- og membrantekker;0.982;0.003
tannhelsesekretær;-0.944;-0.047
tannlege;-0.22;-0.04
tannpleier;-0.948;-0.035
tanntekniker;-0.054;-0.002
tavlemontør;0.848;0.008
taxisjåfør;0.786;0.065
teknisk tegner;0.252;0.047
tekstforfatter;-0.094;-0.028
telekommunikasjonsmontør;0.902;0.008
toller;0.058;0.039
trafikklærer;0.524;-0.025
tv-fotograf;0.356;-0.006
tømrer;0.978;0.028
urmaker;0.724;0.02
byggdrifter / vaktmester;0.806;0.026
vekter;0.524;0.014
verktøymaker;0.978;0.033
vernepleier;-0.518;-0.049
veterinær;-0.558;-0.02
webdesigner;0.154;-0.013
økonom;-0.24;0.006
økonomisjef;0.304;0.07
mediegrafiker;0.016;0.003
kjøttskjærer;0.902;0.043
finmekaniker;0.834;-0.014
båtbygger;0.864;0.071
låsesmed;0.952;0.06
sjømathandler;0.182;0.052
asfaltør;0.832;0.037
banemontør;0.904;0.036
signalmontør;0.95;0.029
betongfagarbeider;0.978;0.014
reservedelsekspeditør;0.75;0.019
ikt-servicemedarbeider;0.45;0.013
herreskredder;-0.398;0.141
ernæringskokk;-0.568;-0.047
produksjonselektroniker;0.344;0.018
brønnoperatør sementering;0.95;0.031
elektroreparatør;0.816;0.037
bunadtilvirker;-0.902;-0.021
stillasbygger;0.988;0.058
bilskadereparatør;0.962;0.04
fjell- og bergverksarbeider;0.888;0.052
anleggsmaskinmekaniker;0.976;0.036
hestefaglært;-0.652;0.007
flysystemmekaniker;0.896;0.059
fagoperatør i limtreproduksjonsfaget;0.738;-0.037
skogsoperatør;0.89;0.071
bore- og vedlikeholdsoperatør;0.832;0.017
gipsmaker;0.938;0.033
seilmaker;0.044;0.075
landbruksmaskinmekaniker;0.938;0.042
glassfagarbeider;0.854;0.009
steinfagarbeider;0.896;-0.001
serigraf;0.566;0.0
energioperatør;0.876;0.048
tekstilrenser;-0.27;-0.035
garver;-0.348;0.022
aluminiumskonstruktør;0.722;0.049
dataelektroniker;0.804;0.034
vei- og anleggsarbeider;0.902;0.068
litteraturviter;-0.192;0.009
spillprogrammerer;0.76;0.067
gravferdskonsulent;0.158;-0.008
byggingeniør;0.63;0.019
brønnoperatør havbunnsinstallasjoner;0.936;0.07
kunsthistoriker;-0.244;0.026
avisbud;0.734;0.003
idrettsutøver;0.61;0.036
havnesjef;0.73;0.135
fotballdommer;-0.034;0.087
sportsdommer;-0.034;0.038
miljøterapeut;-0.396;-0.042
psykoterapeut;-0.508;-0.017
manuellterapeut;0.372;-0.052
økonomikonsulent;-0.19;-0.031
cnc-operatør;0.798;0.079
kjeveortoped;0.078;-0.015
anestesisykepleier;-0.434;-0.08
vikler;0.754;-0.006
menighetspedagog;-0.384;-0.07
kirkeverge;-0.036;0.095
utmarksforvalter;0.812;0.092
landbrukssjef;-0.038;0.083
planteinspektør;-0.438;-0.003
landbruksrådgiver;0.05;-0.045
mikrobiolog;-0.576;0.003
vinkelner;0.364;0.04
finansanalytiker;0.1;-0.006
flyinstruktør;0.788;0.047
intensivsykepleier;-0.748;-0.1
dramaturg;-0.334;-0.006
marin bioteknolog;-0.224;0.07
samfunnsgeograf;-0.1;0.025
klinisk sosionom;-0.708;-0.031
reindriftsutøver;0.81;0.051
barne- og ungdomspsykiater;-0.106;-0.126
billedkunstner;-0.128;-0.012
kunst- og kulturformidler;-0.318;-0.036
lokomotivfører;0.858;0.072
trikkefører;0.546;0.03
undervisningsinspektør;-0.292;-0.006
misjonær;0.144;0.073
branningeniør;0.808;0.032
farmasøyt;-0.628;-0.008
rådgiver i offentlig sektor;-0.264;-0.081
museumsformidler;-0.35;0.029
komposittbåtbygger;0.682;0.076
trebåtbygger;0.876;0.131
antikvar;-0.122;0.046
instrumentalpedagog;-0.094;-0.07
fagoperatør i trelastfaget;0.772;-0.01
maskinist;0.944;0.075
kommunikasjonsrådgiver;-0.24;-0.069
driftsoperatør i idrettsanlegg;0.634;0.01
dimensjonskontrollør;0.854;0.013
fagoperatør i fiskeredskapsfaget;0.298;-0.026
fagarbeider industriell matproduksjon;0.294;-0.007
chassispåbygger;0.976;0.081
bilmekaniker (tunge kjøretøy);0.974;0.018
fagarbeider sjømatproduksjon;0.26;0.011
industrisnekker;0.802;0.061
strikkehåndverker;-1.0;-0.035
eksponeringsdesigner;-0.64;-0.021
flystrukturmekaniker;0.896;0.053
vaskerioperatør;-0.186;-0.016
maskinsjef;0.988;0.113
prosessingeniør;0.556;0.006
kurator;-0.302;0.017
rekvisitør;0.462;0.005
musikkterapeut;-0.2;-0.039
musikkprodusent;0.536;0.069
brønnoperatør for mekaniske kabeloperasjoner;0.824;0.049
allmennlege;0.216;-0.055
overstyrmann;0.938;0.098
hjemmehjelp;-0.78;-0.074
kaptein;0.98;0.133
personlig trener;-0.312;-0.006
fabrikksjef. fiske;0.954;0.03
produktutvikler fiskefôr;0.714;0.02
fiskehelsebiolog;0.602;0.019
it-administrator;0.614;0.05
supportkonsulent;0.496;-0.022
nettverkstekniker;0.77;0.014
fagoperatør i polymerkompositt / herdeplast;0.676;-0.004
miljørådgiver;-0.06;-0.038
adjunkt;-0.41;0.036
pedagogisk-psykologisk rådgiver (pp-rådgiver);-0.796;-0.101
interaksjonsdesigner;0.36;-0.029
fagoperatør i produksjonsteknikk;0.57;-0.035
modellbygger;0.944;0.037
matteknolog;-0.304;-0.007
samfunnsplanlegger;-0.03;0.02
arealplanlegger;-0.184;0.011
gjenvinningsoperatør;0.826;0.063
industriell overflatebehandler;0.928;-0.002
jobbveileder;-0.42;-0.033
advokatassistent;-0.846;0.001
ndt-kontrollør;0.838;0.047
støper;0.892;0.013
bilpleier;0.66;-0.033
fagoperatør i plastfag;0.676;-0.029
ingeniør i energi og miljø i bygg;0.614;-0.035
pleiemedarbeider;-0.55;-0.021
industrimontør;0.898;0.039
kantinemedarbeider;-0.278;-0.006
profileringsdesigner;-0.056;-0.015
miljøarbeider;-0.272;0.026
personalrådgiver;-0.308;-0.028
fagoperatør i termoplast;0.684;-0.0
innkjøper;0.218;0.068
fagoperatør i grafisk produksjonsteknikk;0.518;-0.039
støttekontakt;-0.202;-0.044
systemutvikler;0.62;0.02
telefonselger;0.186;0.017
salgssjef;0.518;0.05
kjøkkensjef;0.342;0.029
studiekonsulent;-0.418;-0.038
hjelpearbeider innen bygg og anlegg;0.822;-0.001
familierådgiver;-0.578;-0.06
hotellmedarbeider;-0.342;0.012
skolefritidsleder (sfo);-0.614;-0.059
kundeansvarlig (salg);0.29;0.003
forretningsutvikler;0.266;0.057
barista;-0.572;-0.024
it-leder;0.666;0.048
veiplanlegger;0.364;0.024
avløser;0.362;0.083
jordskiftekandidat;0.502;0.036
geodataingeniør;0.384;0.027
it-arkitekt;0.66;0.083
statistiker;0.126;0.042
it-prosjektleder;0.218;0.02
jordskiftedommer;0.484;-0.005
røkter;0.626;0.03
lufthavnbetjent;0.89;0.077
trafikkbetjent (parkering);0.514;0.003
arrangementsplanlegger;0.016;0.008
barnehagestyrer;-0.788;-0.083
filmfotograf;0.316;-0.008
flymekaniker;0.886;0.075
flytekniker;0.91;0.054
dyrefagarbeider;-0.726;0.009
brønnborer fastland;0.968;0.014
sikkerhetsrådgiver (it);0.682;0.007
dataanalytiker (data scientist);0.582;0.032
anleggsrørlegger;0.992;0.042
medietekniker;0.786;0.004
ventilasjonstekniker;0.954;0.003
fagoperatør i trelast- og limtreproduksjon;0.852;-0.029
fagoperatør i industritekstilfaget;-0.468;-0.029
forlagsmedarbeider;-0.316;0.014
kulturskolelærer;-0.318;-0.032
