ATTRIBUTE;GOLD;PRED
havforsker;0.292;0.482
heismontør;0.982;0.414
helsesekretær;-0.97;0.275
helsesykepleier;-0.984;0.507
helsefagarbeider;-0.678;0.555
hms-ingeniør;0.17;0.503
hotelldirektør;0.294;0.385
hovmester;-0.126;0.341
hovslager;0.454;0.371
hudpleier;-0.986;0.367
husøkonom;-0.672;0.429
hydrolog;0.302;0.553
idrettskonsulent;0.278;0.425
idrettstrener;0.036;0.424
illustratør;-0.194;0.386
industridesigner;0.408;0.467
industrimaler;0.972;0.415
industrimekaniker;0.908;0.488
industrirørlegger;0.966;0.496
ingeniør;0.584;0.457
inspisient;0.066;0.439
interiørarkitekt;-0.722;0.454
interiørkonsulent;-0.718;0.484
isolatør;0.976;0.437
it-konsulent;0.562;0.517
jordmor;-0.998;-0.146
journalist;0.072;0.432
jurist;-0.284;0.542
kabinpersonale fly;-0.564;0.058
karriereveileder;-0.418;0.327
kateket;-0.444;0.436
kirketjener;0.382;0.357
kiropraktor;0.284;0.434
kjemiingeniør;-0.134;0.433
kjemiker;-0.134;0.525
kjole- og draktsyer;-0.756;0.188
klesdesigner;-0.74;0.424
konditor;-0.44;0.488
konduktør;0.136;0.377
konservator;-0.372;0.452
service- og administrasjonsmedarbeider;-0.428;0.594
kosmetolog;-0.946;0.437
kostymesyer;-0.908;0.454
kostøkonom;-0.186;0.463
fagoperatør kran- og løfteoperasjoner (kranfører);0.94;0.434
kulde- og varmepumpetekniker;0.974;0.55
kunderådgiver i bank;-0.1;0.494
kunsthåndverker;0.038;0.507
kunstner;-0.034;0.483
kystskipper;0.976;0.225
laborant;-0.326;0.419
landmåler;0.45;0.572
landskapsarkitekt;-0.326;0.487
yrkessjåfør;0.91;0.479
leder;0.306;0.153
lege;-0.086;0.381
legemiddelkonsulent;-0.046;0.388
lektor;-0.246;0.381
logistikkoperatør;0.624;0.449
logoped;-0.862;0.367
los;0.956;0.324
lydtekniker;0.866;0.501
lystekniker;0.51;0.551
lærer;-0.378;0.306
maler;0.876;0.512
marinbiolog;-0.236;0.445
markedsfører;-0.15;0.49
markedssjef;0.206;0.465
maskiningeniør;0.836;0.368
maskør- og parykkmaker;-0.738;0.435
massasjeterapeut;-0.658;0.409
matematiker;-0.04;0.521
matros;0.888;0.41
mediedesigner;0.02;0.391
megler;0.368;0.269
mekaniker;0.958;0.517
meteorolog;0.088;0.51
modell;-0.368;0.272
skipsmotormekaniker;0.978;0.477
motormekaniker;0.976;0.509
mur-og flislegger;0.98;0.628
musiker;0.172;0.362
musikkpedagog;-0.128;0.457
møbelsnekker;0.81;0.489
møbeltapetserer;0.416;0.44
naturforvalter;0.662;0.472
negledesigner;-0.908;0.502
mattekniker;-0.294;0.536
optiker;-0.286;0.472
organist/kantor;0.204;0.483
ortoped;0.542;0.48
ortopediingeniør;-0.154;0.435
ortopeditekniker;0.302;0.518
oversetter;-0.232;0.511
personalsjef;-0.388;0.414
petroleumsingeniør;0.586;0.463
pilot;0.91;0.315
platearbeider;0.976;0.447
politi;0.252;0.438
politibetjent;0.288;0.486
politijurist;-0.082;0.528
politiker;-0.034;0.481
portør;0.464;0.512
postbud;0.152;0.474
prest;0.33;0.536
professor;0.336;0.206
fagoperatør i kjemisk prosessindustri (prosesstekniker);0.7;0.597
psykiater;-0.106;0.461
psykolog;-0.51;0.436
radiograf;-0.486;0.463
radiolog;0.162;0.494
redaktør;0.006;0.247
regissør;0.098;0.368
regnskapsfører;-0.474;0.516
reiselivsmedarbeider;-0.352;0.419
reiseleder;-0.06;0.379
renholdsoperatør;-0.548;0.441
resepsjonist;-0.182;0.462
reseptarfarmasøyt;-0.632;0.404
revisor;0.026;0.486
ridelærer;-0.826;0.377
rørlegger;0.972;0.494
saksbehandler;-0.474;0.518
samfunnsøkonom;0.032;0.403
sanger;-0.164;0.309
scenograf;-0.382;0.441
servitør;-0.262;0.431
sivilingeniør;0.572;0.452
siviløkonom;-0.01;0.463
maritim elektriker;0.976;0.452
skipsmegler;0.73;0.504
skoleassistent;-0.398;0.294
rektor/skoleleder;-0.174;0.124
skomaker;0.394;0.404
skuespiller;0.002;0.461
slakter;0.62;0.425
smed;0.53;0.388
sminkør;-0.734;0.397
sosialantropolog;-0.126;0.358
sosiolog;-0.16;0.429
sosionom;-0.546;0.485
speditør;0.462;0.469
spesialpedagog;-0.856;0.446
statsviter;-0.132;0.54
stipendiat;-0.06;0.323
styrmann;0.936;0.5
sveiser;0.946;0.535
sykepleier;-0.792;0.406
sølvsmed;-0.088;0.455
takstmann;0.916;0.508
tak- og membrantekker;0.982;0.399
tannhelsesekretær;-0.944;0.412
tannlege;-0.22;0.477
tannpleier;-0.948;0.308
tanntekniker;-0.054;0.526
tavlemontør;0.848;0.417
taxisjåfør;0.786;0.461
teknisk tegner;0.252;0.48
tekstforfatter;-0.094;0.322
telekommunikasjonsmontør;0.902;0.443
toller;0.058;0.527
trafikklærer;0.524;0.302
tv-fotograf;0.356;0.393
tømrer;0.978;0.47
urmaker;0.724;0.48
byggdrifter / vaktmester;0.806;0.491
vekter;0.524;0.484
verktøymaker;0.978;0.417
vernepleier;-0.518;0.396
veterinær;-0.558;0.416
webdesigner;0.154;0.462
økonom;-0.24;0.56
økonomisjef;0.304;0.447
mediegrafiker;0.016;0.334
kjøttskjærer;0.902;0.314
finmekaniker;0.834;0.544
båtbygger;0.864;0.521
låsesmed;0.952;0.354
sjømathandler;0.182;0.398
asfaltør;0.832;0.476
banemontør;0.904;0.553
signalmontør;0.95;0.455
betongfagarbeider;0.978;0.515
reservedelsekspeditør;0.75;0.399
ikt-servicemedarbeider;0.45;0.528
herreskredder;-0.398;0.455
ernæringskokk;-0.568;0.331
produksjonselektroniker;0.344;0.532
brønnoperatør sementering;0.95;0.244
elektroreparatør;0.816;0.463
bunadtilvirker;-0.902;0.385
stillasbygger;0.988;0.501
bilskadereparatør;0.962;0.341
fjell- og bergverksarbeider;0.888;0.533
anleggsmaskinmekaniker;0.976;0.459
hestefaglært;-0.652;0.414
flysystemmekaniker;0.896;0.43
fagoperatør i limtreproduksjonsfaget;0.738;0.435
skogsoperatør;0.89;0.434
bore- og vedlikeholdsoperatør;0.832;0.495
gipsmaker;0.938;0.327
seilmaker;0.044;0.549
landbruksmaskinmekaniker;0.938;0.413
glassfagarbeider;0.854;0.463
steinfagarbeider;0.896;0.502
serigraf;0.566;0.473
energioperatør;0.876;0.394
tekstilrenser;-0.27;0.427
garver;-0.348;0.41
aluminiumskonstruktør;0.722;0.456
dataelektroniker;0.804;0.497
vei- og anleggsarbeider;0.902;0.683
litteraturviter;-0.192;0.396
spillprogrammerer;0.76;0.433
gravferdskonsulent;0.158;0.448
byggingeniør;0.63;0.368
brønnoperatør havbunnsinstallasjoner;0.936;0.377
kunsthistoriker;-0.244;0.411
avisbud;0.734;0.357
idrettsutøver;0.61;0.395
havnesjef;0.73;0.488
fotballdommer;-0.034;0.422
sportsdommer;-0.034;0.376
miljøterapeut;-0.396;0.403
psykoterapeut;-0.508;0.523
manuellterapeut;0.372;0.426
økonomikonsulent;-0.19;0.514
cnc-operatør;0.798;0.582
kjeveortoped;0.078;0.355
anestesisykepleier;-0.434;0.267
vikler;0.754;0.385
menighetspedagog;-0.384;0.484
kirkeverge;-0.036;0.213
utmarksforvalter;0.812;0.466
landbrukssjef;-0.038;0.476
planteinspektør;-0.438;0.389
landbruksrådgiver;0.05;0.384
mikrobiolog;-0.576;0.476
vinkelner;0.364;0.494
finansanalytiker;0.1;0.437
flyinstruktør;0.788;0.494
intensivsykepleier;-0.748;0.072
dramaturg;-0.334;0.334
marin bioteknolog;-0.224;0.486
samfunnsgeograf;-0.1;0.318
klinisk sosionom;-0.708;0.563
reindriftsutøver;0.81;0.373
barne- og ungdomspsykiater;-0.106;0.32
billedkunstner;-0.128;0.514
kunst- og kulturformidler;-0.318;0.116
lokomotivfører;0.858;0.609
trikkefører;0.546;0.461
undervisningsinspektør;-0.292;0.387
misjonær;0.144;0.479
branningeniør;0.808;0.44
farmasøyt;-0.628;0.483
rådgiver i offentlig sektor;-0.264;0.481
museumsformidler;-0.35;0.158
komposittbåtbygger;0.682;0.486
trebåtbygger;0.876;0.5
antikvar;-0.122;0.439
instrumentalpedagog;-0.094;0.551
fagoperatør i trelastfaget;0.772;0.454
maskinist;0.944;0.453
kommunikasjonsrådgiver;-0.24;0.422
driftsoperatør i idrettsanlegg;0.634;0.435
dimensjonskontrollør;0.854;0.367
fagoperatør i fiskeredskapsfaget;0.298;0.436
fagarbeider industriell matproduksjon;0.294;0.485
chassispåbygger;0.976;0.584
bilmekaniker (tunge kjøretøy);0.974;0.555
fagarbeider sjømatproduksjon;0.26;0.374
industrisnekker;0.802;0.409
strikkehåndverker;-1.0;0.475
eksponeringsdesigner;-0.64;0.371
flystrukturmekaniker;0.896;0.465
vaskerioperatør;-0.186;0.478
maskinsjef;0.988;0.449
prosessingeniør;0.556;0.442
kurator;-0.302;0.33
rekvisitør;0.462;0.369
musikkterapeut;-0.2;0.385
musikkprodusent;0.536;0.412
brønnoperatør for mekaniske kabeloperasjoner;0.824;0.535
allmennlege;0.216;0.344
overstyrmann;0.938;0.482
hjemmehjelp;-0.78;0.203
kaptein;0.98;0.365
personlig trener;-0.312;0.389
fabrikksjef. fiske;0.954;0.391
produktutvikler fiskefôr;0.714;0.405
fiskehelsebiolog;0.602;0.386
it-administrator;0.614;0.34
supportkonsulent;0.496;0.371
nettverkstekniker;0.77;0.585
fagoperatør i polymerkompositt / herdeplast;0.676;0.495
miljørådgiver;-0.06;0.251
adjunkt;-0.41;0.449
pedagogisk-psykologisk rådgiver (pp-rådgiver);-0.796;0.238
interaksjonsdesigner;0.36;0.498
fagoperatør i produksjonsteknikk;0.57;0.494
modellbygger;0.944;0.477
matteknolog;-0.304;0.446
samfunnsplanlegger;-0.03;0.515
arealplanlegger;-0.184;0.55
gjenvinningsoperatør;0.826;0.388
industriell overflatebehandler;0.928;0.537
jobbveileder;-0.42;0.382
advokatassistent;-0.846;0.572
ndt-kontrollør;0.838;0.369
støper;0.892;0.43
bilpleier;0.66;0.332
fagoperatør i plastfag;0.676;0.48
ingeniør i energi og miljø i bygg;0.614;0.634
pleiemedarbeider;-0.55;0.521
industrimontør;0.898;0.408
kantinemedarbeider;-0.278;0.486
profileringsdesigner;-0.056;0.397
miljøarbeider;-0.272;0.545
personalrådgiver;-0.308;0.304
fagoperatør i termoplast;0.684;0.532
innkjøper;0.218;0.383
fagoperatør i grafisk produksjonsteknikk;0.518;0.458
støttekontakt;-0.202;0.02
systemutvikler;0.62;0.515
telefonselger;0.186;0.408
salgssjef;0.518;0.434
kjøkkensjef;0.342;0.391
studiekonsulent;-0.418;0.408
hjelpearbeider innen bygg og anlegg;0.822;0.541
familierådgiver;-0.578;0.176
hotellmedarbeider;-0.342;0.463
skolefritidsleder (sfo);-0.614;0.231
kundeansvarlig (salg);0.29;0.42
forretningsutvikler;0.266;0.408
barista;-0.572;0.426
it-leder;0.666;0.347
veiplanlegger;0.364;0.61
avløser;0.362;0.434
jordskiftekandidat;0.502;0.484
geodataingeniør;0.384;0.403
it-arkitekt;0.66;0.514
statistiker;0.126;0.581
it-prosjektleder;0.218;0.435
jordskiftedommer;0.484;0.452
røkter;0.626;0.383
lufthavnbetjent;0.89;0.478
trafikkbetjent (parkering);0.514;0.406
arrangementsplanlegger;0.016;0.459
barnehagestyrer;-0.788;0.309
filmfotograf;0.316;0.502
flymekaniker;0.886;0.505
flytekniker;0.91;0.58
dyrefagarbeider;-0.726;0.467
brønnborer fastland;0.968;0.341
sikkerhetsrådgiver (it);0.682;0.532
dataanalytiker (data scientist);0.582;0.542
anleggsrørlegger;0.992;0.542
medietekniker;0.786;0.486
ventilasjonstekniker;0.954;0.592
fagoperatør i trelast- og limtreproduksjon;0.852;0.467
fagoperatør i industritekstilfaget;-0.468;0.369
forlagsmedarbeider;-0.316;0.449
kulturskolelærer;-0.318;0.046
