ATTRIBUTE;GOLD;PRED
kjøttskjærer;0.902;-0.01
finmekaniker;0.834;0.051
båtbygger;0.864;0.172
låsesmed;0.952;0.022
sjømathandler;0.182;0.093
asfaltør;0.832;0.105
banemontør;0.904;0.326
signalmontør;0.95;0.101
betongfagarbeider;0.978;-0.02
reservedelsekspeditør;0.75;0.024
ikt-servicemedarbeider;0.45;0.053
herreskredder;-0.398;0.033
ernæringskokk;-0.568;-0.169
produksjonselektroniker;0.344;0.236
brønnoperatør sementering;0.95;0.042
elektroreparatør;0.816;0.088
bunadtilvirker;-0.902;0.009
stillasbygger;0.988;0.118
bilskadereparatør;0.962;0.096
fjell- og bergverksarbeider;0.888;0.133
anleggsmaskinmekaniker;0.976;0.092
hestefaglært;-0.652;0.058
flysystemmekaniker;0.896;0.234
fagoperatør i limtreproduksjonsfaget;0.738;-0.118
skogsoperatør;0.89;-0.004
bore- og vedlikeholdsoperatør;0.832;-0.054
gipsmaker;0.938;0.24
seilmaker;0.044;0.146
landbruksmaskinmekaniker;0.938;0.214
glassfagarbeider;0.854;-0.008
steinfagarbeider;0.896;-0.006
serigraf;0.566;0.14
energioperatør;0.876;0.09
tekstilrenser;-0.27;-0.065
garver;-0.348;0.084
aluminiumskonstruktør;0.722;0.319
dataelektroniker;0.804;0.241
vei- og anleggsarbeider;0.902;0.091
litteraturviter;-0.192;-0.064
spillprogrammerer;0.76;0.238
gravferdskonsulent;0.158;-0.093
byggingeniør;0.63;-0.025
brønnoperatør havbunnsinstallasjoner;0.936;0.101
kunsthistoriker;-0.244;0.162
avisbud;0.734;0.039
idrettsutøver;0.61;0.096
havnesjef;0.73;0.173
fotballdommer;-0.034;0.243
sportsdommer;-0.034;0.273
miljøterapeut;-0.396;-0.018
psykoterapeut;-0.508;0.145
manuellterapeut;0.372;-0.044
økonomikonsulent;-0.19;-0.047
cnc-operatør;0.798;0.122
kjeveortoped;0.078;0.042
anestesisykepleier;-0.434;-0.262
vikler;0.754;0.04
menighetspedagog;-0.384;-0.022
kirkeverge;-0.036;0.037
utmarksforvalter;0.812;0.17
landbrukssjef;-0.038;0.194
planteinspektør;-0.438;0.131
landbruksrådgiver;0.05;0.047
mikrobiolog;-0.576;0.098
vinkelner;0.364;0.075
finansanalytiker;0.1;0.12
flyinstruktør;0.788;0.367
intensivsykepleier;-0.748;-0.22
dramaturg;-0.334;-0.006
marin bioteknolog;-0.224;-0.086
samfunnsgeograf;-0.1;0.127
klinisk sosionom;-0.708;-0.208
reindriftsutøver;0.81;0.094
barne- og ungdomspsykiater;-0.106;-0.101
billedkunstner;-0.128;-0.025
kunst- og kulturformidler;-0.318;-0.034
lokomotivfører;0.858;0.17
trikkefører;0.546;0.08
undervisningsinspektør;-0.292;0.019
misjonær;0.144;0.184
branningeniør;0.808;0.13
farmasøyt;-0.628;0.121
rådgiver i offentlig sektor;-0.264;-0.109
museumsformidler;-0.35;0.038
komposittbåtbygger;0.682;0.204
trebåtbygger;0.876;0.178
antikvar;-0.122;0.081
instrumentalpedagog;-0.094;0.077
fagoperatør i trelastfaget;0.772;-0.08
maskinist;0.944;0.155
kommunikasjonsrådgiver;-0.24;-0.105
driftsoperatør i idrettsanlegg;0.634;0.046
dimensjonskontrollør;0.854;0.166
fagoperatør i fiskeredskapsfaget;0.298;-0.105
fagarbeider industriell matproduksjon;0.294;-0.121
chassispåbygger;0.976;0.178
bilmekaniker (tunge kjøretøy);0.974;0.119
fagarbeider sjømatproduksjon;0.26;-0.089
industrisnekker;0.802;0.129
strikkehåndverker;-1.0;0.045
eksponeringsdesigner;-0.64;0.017
flystrukturmekaniker;0.896;0.225
vaskerioperatør;-0.186;0.087
maskinsjef;0.988;0.163
prosessingeniør;0.556;0.109
kurator;-0.302;0.121
rekvisitør;0.462;0.092
musikkterapeut;-0.2;-0.025
musikkprodusent;0.536;0.197
brønnoperatør for mekaniske kabeloperasjoner;0.824;0.133
allmennlege;0.216;0.116
overstyrmann;0.938;0.283
hjemmehjelp;-0.78;-0.089
kaptein;0.98;0.249
personlig trener;-0.312;0.235
fabrikksjef. fiske;0.954;0.07
produktutvikler fiskefôr;0.714;-0.056
fiskehelsebiolog;0.602;-0.002
it-administrator;0.614;0.142
supportkonsulent;0.496;0.105
nettverkstekniker;0.77;0.174
fagoperatør i polymerkompositt / herdeplast;0.676;0.077
miljørådgiver;-0.06;0.023
adjunkt;-0.41;0.025
pedagogisk-psykologisk rådgiver (pp-rådgiver);-0.796;-0.208
interaksjonsdesigner;0.36;-0.055
fagoperatør i produksjonsteknikk;0.57;-0.056
modellbygger;0.944;0.083
matteknolog;-0.304;-0.062
samfunnsplanlegger;-0.03;0.1
arealplanlegger;-0.184;0.058
gjenvinningsoperatør;0.826;-0.077
industriell overflatebehandler;0.928;-0.066
jobbveileder;-0.42;0.001
advokatassistent;-0.846;-0.028
ndt-kontrollør;0.838;0.191
støper;0.892;0.127
bilpleier;0.66;-0.183
fagoperatør i plastfag;0.676;-0.118
ingeniør i energi og miljø i bygg;0.614;-0.093
pleiemedarbeider;-0.55;-0.073
industrimontør;0.898;0.152
kantinemedarbeider;-0.278;-0.027
profileringsdesigner;-0.056;-0.034
miljøarbeider;-0.272;0.056
personalrådgiver;-0.308;-0.132
fagoperatør i termoplast;0.684;0.009
innkjøper;0.218;0.043
fagoperatør i grafisk produksjonsteknikk;0.518;0.02
støttekontakt;-0.202;0.059
systemutvikler;0.62;0.24
telefonselger;0.186;0.1
salgssjef;0.518;0.205
kjøkkensjef;0.342;0.054
studiekonsulent;-0.418;-0.102
hjelpearbeider innen bygg og anlegg;0.822;-0.202
familierådgiver;-0.578;-0.145
hotellmedarbeider;-0.342;0.04
skolefritidsleder (sfo);-0.614;-0.244
kundeansvarlig (salg);0.29;-0.025
forretningsutvikler;0.266;0.18
barista;-0.572;0.237
it-leder;0.666;0.082
veiplanlegger;0.364;0.096
avløser;0.362;0.062
jordskiftekandidat;0.502;-0.124
geodataingeniør;0.384;0.194
it-arkitekt;0.66;0.104
statistiker;0.126;0.113
it-prosjektleder;0.218;-0.017
jordskiftedommer;0.484;0.038
røkter;0.626;0.106
lufthavnbetjent;0.89;0.208
trafikkbetjent (parkering);0.514;0.076
arrangementsplanlegger;0.016;0.133
barnehagestyrer;-0.788;-0.188
filmfotograf;0.316;0.09
flymekaniker;0.886;0.157
flytekniker;0.91;0.228
dyrefagarbeider;-0.726;-0.089
brønnborer fastland;0.968;0.064
sikkerhetsrådgiver (it);0.682;0.119
dataanalytiker (data scientist);0.582;0.28
anleggsrørlegger;0.992;0.145
medietekniker;0.786;0.159
ventilasjonstekniker;0.954;0.082
fagoperatør i trelast- og limtreproduksjon;0.852;0.055
fagoperatør i industritekstilfaget;-0.468;-0.235
forlagsmedarbeider;-0.316;-0.026
kulturskolelærer;-0.318;-0.16
