ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
gammel;1;1;0.027;0.022;-0.005
man;1;0;0.035;0;-0.035
helst;1;0;0.031;0;-0.031
söker;1;0;0.014;0;-0.014
lektor;1;0;0.033;0;-0.033
kjærlighet;0;1;0;0.016;0.016
kamp;0;1;0;0.039;0.039
vanlig;0;1;0;0.035;0.035
president;0;1;0;0.016;0.016
mentor;0;1;0;0.032;0.032
agent;0;1;0;0.025;0.025
ole;0;1;0;0.024;0.024
frø;0;1;0;0.063;0.063
rose;0;1;0;0.019;0.019
plante;0;1;0;0.017;0.017
traktor;0;1;0;0.017;0.017
og;0;1;0;0.011;0.011
1;0;1;0;0.071;0.071
2;0;1;0;0.024;0.024
bjørn;0;1;0;0.027;0.027
orgasme;0;1;0;0.007;0.007
muslim;0;1;0;0.016;0.016
gate;0;1;0;0.017;0.017
dør;0;1;0;0.014;0.014
