ATTRIBUTE;COUNT FEMALE;COUNT MALE;P(FEMALE);P(MALE);PPBS
team;0;1;0;0.03;0.03
kristoffer;0;1;0;0.062;0.062
bror;0;1;0;0.033;0.033
kasper;0;1;0;0.035;0.035
lagkamerat;0;1;0;0.03;0.03
journalister;0;1;0;0.016;0.016
daniel;0;1;0;0.035;0.035
oskar;0;1;0;0.019;0.019
helt;0;1;0;0.024;0.024
selvstendig;0;1;0;0.019;0.019
kaptein;0;1;0;0.025;0.025
president;0;1;0;0.026;0.026
